split_seed,model_seed,model,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
0,0,RandomForest,0.5858270203039194,0.6040913610144348,0.3041378156437453,2.2522647623825405,1.5691360504260157,0.10541246966739568,2.4970777382845157,0.7514873759651066
0,1,RandomForest,0.5835322939972086,0.600245834619483,0.2998927740011469,2.2591241813869805,1.5924277466897345,0.10673258422521992,2.54295001977347,0.7470128500369972
0,2,RandomForest,0.5838113960491524,0.6005413286434281,0.29852886910575216,2.2613236525615297,1.587965070915312,0.11617971846460928,2.5699970569544637,0.7437595770298432
0,3,RandomForest,0.5877357626791752,0.6028279217565374,0.30641430527739333,2.2485776402879245,1.5789813441125988,0.12083366132567845,2.465635646753884,0.7533803825966172
0,4,RandomForest,0.5761277199413416,0.5935608913308039,0.2877905603532417,2.2785663894387156,1.5995044945221535,0.12004232417048218,2.635305839156545,0.737257973921802
1,0,RandomForest,0.6512443596883755,0.6366407561400426,0.40714373687775796,2.1406889245290133,1.5462478125928947,-0.012016060027193605,1.743637045716861,0.8333659593366761
1,1,RandomForest,0.6504436738431442,0.6350524708725137,0.4063205420616445,2.142174607353069,1.5392698478658093,0.027319199012540905,1.6998715435567837,0.8344190449263899
1,2,RandomForest,0.6498832653216986,0.6337863571644189,0.406731277937485,2.141433449655804,1.5554880851408948,0.02513955845469998,1.6531355891810375,0.8390748201749578
1,3,RandomForest,0.6474662981723854,0.6293067360545798,0.40343291381621493,2.147378004737669,1.546197237322073,-0.004381783547127317,1.6940532508823614,0.8375221290963931
1,4,RandomForest,0.6543425535417602,0.6334210925938502,0.4150477396314105,2.1263711328434964,1.5318855007680303,0.010153069887744238,1.5403830908256166,0.8511094019375823
2,0,RandomForest,0.5909716075391247,0.5904171600172026,0.30733820710190307,2.2339018457852444,1.59537008545135,0.1767449931486298,2.4263038100946033,0.7530125014813471
2,1,RandomForest,0.595031263708917,0.5917735610604731,0.310945899313416,2.2280766712126727,1.589038250907527,0.15340456566262328,2.4882688198120944,0.7487913146928639
2,2,RandomForest,0.5911885332792979,0.5925164009661674,0.3059373784402507,2.236159609381931,1.580763265117186,0.16309635927547256,2.494468697753882,0.7475128051036456
2,3,RandomForest,0.5909278112652693,0.5881168187622762,0.3042331654799034,2.238903278040157,1.591564191411483,0.170963857364696,2.5149304836869435,0.7450119209670638
2,4,RandomForest,0.5894688238263514,0.5895409372555134,0.2985725662513036,2.247992430201961,1.596813537682101,0.1716651535037224,2.611714055151335,0.7357746887326749
3,0,RandomForest,0.5821807167759949,0.5764148813969582,0.30734332853163626,2.2869522030696223,1.642463814712943,0.183373863213691,2.132217785148653,0.7794457903790554
3,1,RandomForest,0.5805509969859924,0.5721466387637449,0.3064319126618055,2.2884563243771683,1.6457827532901697,0.17327902005951748,2.1281703278233137,0.7805818361527851
3,2,RandomForest,0.5851475841562195,0.5712622096411897,0.31352731143137036,2.2767204523952054,1.635745919971554,0.18549115037771968,2.0240231719271793,0.7895918178622675
3,3,RandomForest,0.5804409256776756,0.5701417959499712,0.3097854794275626,2.282917004800222,1.6397493449572336,0.1532684350079139,2.0527692949138516,0.7892762792377128
3,4,RandomForest,0.5814555282017341,0.5728258639135496,0.3095111762992553,2.2833705949906595,1.6461944312880563,0.17346777160964655,2.0546164978603962,0.7875802210122892
4,0,RandomForest,0.5861420152582593,0.5892981914406852,0.2882165670402218,2.264152361555147,1.6491060023862312,0.11459262778411801,2.8391620158274473,0.7170006599618696
4,1,RandomForest,0.5898396914146539,0.5918940243593692,0.29589566186099214,2.251905806912163,1.623086769256337,0.12748804900730398,2.740112232581698,0.7255941439192258
4,2,RandomForest,0.584843527339265,0.5872851384025594,0.2873519447772904,2.2655271072364593,1.646414962522069,0.11890671739178796,2.824912018777248,0.7180691509628877
4,3,RandomForest,0.5877937743425905,0.5938721926863347,0.29365119672436457,2.2554921380180275,1.632527372102768,0.11692435583053933,2.7590494889183086,0.7245143854339369
4,4,RandomForest,0.5864783492766021,0.5913604934828017,0.2898776600096413,2.2615088858804735,1.630804409553245,0.1398243988318153,2.7763744837594073,0.721272690053375
5,0,RandomForest,0.6443535106864764,0.6263824434457813,0.3955923274655988,2.1742839169410706,1.5695571386598495,0.18728006726927632,1.504019362538555,0.8397712726022092
5,1,RandomForest,0.6381334125678584,0.619778932175354,0.3884867287592251,2.1870273409152463,1.5629483616485318,0.17999186347261006,1.498638863959834,0.8408615889789793
5,2,RandomForest,0.640718910060033,0.6261649256724235,0.3904564832053877,2.18350216681403,1.5626764146416552,0.19686901748321503,1.503748827137999,0.8390346989561448
5,3,RandomForest,0.6379872085295228,0.624995254627009,0.38697765866421774,2.1897242111901636,1.5610584900835747,0.19894332195464529,1.5024548072037511,0.8389924556275685
5,4,RandomForest,0.6358970187793467,0.6209465511663027,0.3844118627203934,2.194301955323071,1.5681235706764065,0.17396387464774118,1.5789638392975338,0.8337230259132993
6,0,RandomForest,0.6011282225998993,0.5731322058806908,0.3342325253295163,2.242442785813865,1.6139065766017175,0.08391058128343351,2.127124109110517,0.7878867526494133
6,1,RandomForest,0.6005653889736123,0.576868974058496,0.33363079106620475,2.2434559397701532,1.6228929256279092,0.08929281655401165,2.117905469196171,0.788364069904898
6,2,RandomForest,0.6006895136393349,0.5708031384002905,0.33453658416990706,2.2419306607506795,1.6173906078419877,0.10202213350194107,2.070802989576539,0.7919138987856769
6,3,RandomForest,0.591781210343777,0.5635286501024763,0.3226728502690841,2.2618266977702497,1.6305599727867048,0.11756090561755132,2.1115816800487313,0.7868377232283915
6,4,RandomForest,0.5996602756500442,0.57448039736494,0.33480595073283514,2.2414768700040693,1.6099727061216138,0.1063710866411335,2.012777732590958,0.7971388353188487
7,0,RandomForest,0.6233947637514805,0.6268451665875328,0.36323695846835125,2.1554815153112457,1.5337209386321562,0.19494085877180384,1.7544669211237838,0.8144306732206101
7,1,RandomForest,0.6186668033430721,0.6300278769393862,0.3570192934708045,2.1659795371736665,1.5399355332974332,0.1914223413166974,1.790264704841869,0.8112947193649743
7,2,RandomForest,0.6203409791836894,0.6210235358536782,0.3572351034799969,2.165616012040988,1.5404893579751489,0.20691442414707148,1.8120101797772181,0.8080319856029113
7,3,RandomForest,0.6193180841327296,0.6243786173657868,0.35873834581393804,2.1630821530025526,1.5370201845322367,0.20540769945235485,1.7103298923523895,0.8178173489308471
7,4,RandomForest,0.6175820374155888,0.6280230361826094,0.3549454299076451,2.1694697894900754,1.530628016254644,0.18314588026292297,1.843914901119047,0.8068217772300181
8,0,RandomForest,0.5818826260652065,0.5820301197822149,0.2970363465489704,2.2600414786197516,1.6175659172363717,0.17479650675621716,2.4516867702110225,0.7506866088224918
8,1,RandomForest,0.5801649799159964,0.5835999269524506,0.2925703424360099,2.2672092561914927,1.6231344939339616,0.17271983398514495,2.52529895458998,0.7438457570108754
8,2,RandomForest,0.580091083779576,0.5826334182241093,0.29002312330219004,2.271287322144189,1.6204687682159191,0.15691561268064153,2.6147968873440073,0.7364537120681686
8,3,RandomForest,0.5854177018741924,0.5859618198321124,0.2995456091358135,2.256004209187685,1.6122212162201024,0.16896410461156983,2.4930234222973793,0.7471764723961708
8,4,RandomForest,0.5823020710505937,0.5826293141530761,0.2960474732564421,2.2616305431692605,1.6171334690257257,0.1781066801323751,2.482078755545922,0.7475668197567591
9,0,RandomForest,0.606786084923117,0.623110324043506,0.3458599440298442,2.180816189478572,1.5231653797270028,-0.01498278116825415,2.060383976135348,0.8025071254064018
