selected_position,original_feature_index_zero_based,feature_name_zero_based
345,1188,fa_164
346,1192,fa_168
347,1193,fa_169
348,1195,fa_171
349,1199,fa_175
350,1210,fa_186
351,1212,fa_188
352,1219,fa_195
353,1221,fa_197
354,1228,fa_204
355,1229,fa_205
356,1231,fa_207
357,1232,fa_208
358,1239,fa_215
359,1240,fa_216
360,1241,fa_217
361,1244,fa_220
362,1245,fa_221
363,1248,fa_224
364,1249,fa_225
365,1250,fa_226
366,1258,fa_234
367,1264,fa_240
368,1265,fa_241
369,1278,fa_254
370,1286,fa_262
371,1287,fa_263
372,1297,fa_273
373,1298,fa_274
374,1299,fa_275
375,1301,fa_277
376,1302,fa_278
377,1305,fa_281
378,1316,fa_292
379,1320,fa_296
380,1321,fa_297
381,1322,fa_298
382,1326,fa_302
383,1327,fa_303
384,1328,fa_304
385,1329,fa_305
386,1331,fa_307
387,1334,fa_310
388,1337,fa_313
389,1340,fa_316
390,1352,fa_328
391,1354,fa_330
392,1359,fa_335
393,1361,fa_337
394,1363,fa_339
395,1364,fa_340
396,1366,fa_342
397,1367,fa_343
398,1368,fa_344
399,1378,fa_354
400,1383,fa_359
401,1384,fa_360
402,1385,fa_361
403,1386,fa_362
404,1390,fa_366
405,1395,fa_371
406,1400,fa_376
407,1402,fa_378
408,1406,fa_382
409,1410,fa_386
410,1418,fa_394
411,1420,fa_396
412,1423,fa_399
413,1426,fa_402
414,1429,fa_405
415,1430,fa_406
416,1440,fa_416
417,1441,fa_417
418,1442,fa_418
419,1449,fa_425
420,1455,fa_431
421,1457,fa_433
422,1463,fa_439
423,1468,fa_444
424,1472,fa_448
425,1476,fa_452
426,1477,fa_453
427,1478,fa_454
428,1481,fa_457
429,1482,fa_458
430,1483,fa_459
431,1485,fa_461
432,1486,fa_462
433,1488,fa_464
434,1490,fa_466
435,1493,fa_469
436,1496,fa_472
437,1501,fa_477
438,1508,fa_484
439,1513,fa_489
440,1518,fa_494
441,1520,fa_496
