pce_bin,n,experimental_min,experimental_max,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
"(1.899, 8.372]",29,1.9,8.26,0.34448923002034915,0.27420546932742057,-3.2476244369186595,3.4183647927588208,2.7413210198086317,2.7387982879793595,3.615929832336953,0.30105622512659275
"(8.372, 9.818]",28,8.54,9.81,0.18549086652311608,0.26379960077164266,-17.435761575146177,1.7065696671489614,1.1823266398952892,0.6113798544438598,8.747597861428341,0.0455540574708025
"(9.818, 11.134]",29,9.82,11.12,0.21087303002649227,0.2295446288384036,-10.711730590523446,1.262134998064222,1.0273948446374253,-0.04493972668994813,9.840756333084778,0.060451987481408384
"(11.134, 12.53]",29,11.19,12.53,0.2756375494142628,0.2984835975833055,-17.00161592401806,1.8680389092827465,1.4697296236627297,-1.0697053793586273,10.989312129995557,0.07617476200484559
"(12.53, 16.5]",28,12.59,16.5,0.6756774344741057,0.6348945732533662,-1.4866886312509813,1.975548730078705,1.440931110017411,-1.2449263163666104,8.76881755657441,0.4086851692269557
