setting,selected_model,selection_rule,validation_r,validation_spearman_rho,validation_r2,validation_rmse,validation_mae,validation_mean_signed_error,validation_calibration_intercept,validation_calibration_slope,test_r,test_spearman_rho,test_r2,test_rmse,test_mae,test_mean_signed_error,test_calibration_intercept,test_calibration_slope
no_augmentation,RandomForest,lowest validation RMSE,0.6299212085056882,0.5381139963019534,0.3724327981132194,2.536511694577858,1.9447484556889805,0.4641211119689043,0.3247424780654494,0.9157705355687645,0.6257465790829096,0.6021659279374362,0.36548397630089446,2.1759817751991415,1.5759869661028698,0.2053226667283616,1.7557022441602053,0.8140704728373087
with_augmentation,GradientBoosting,lowest validation RMSE,0.6066046401645343,0.5126296326071227,0.33520278221957056,2.6106662000308214,2.0240735520175264,0.4614684655806647,0.9704620150632922,0.8470649305600569,0.5964203425521084,0.5875092982823624,0.30065458876648454,2.2844403444614474,1.5965073946620632,0.2174028420538049,2.6350236967707117,0.7298639234489145
