top_fraction,k,top_k_hits,top_k_precision,top_k_recall,enrichment_factor,high_pce_threshold,n_high_pce,high_pce_recall_in_predicted_top_k
0.1,15,9,0.6,0.6,5.72,16.0,5,1.0
0.2,29,16,0.5517241379310345,0.5517241379310345,2.7205707491082047,16.0,5,1.0
