metric,between_split_variance_of_split_means,mean_within_split_model_seed_variance,total_individual_run_variance,between_fraction_of_between_plus_within
r,0.0006193555376893684,8.447823180530365e-06,0.0005756920841478119,0.9865438388720557
spearman_rho,0.0005430262694681222,1.0104253324488409e-05,0.0005069459644703072,0.981732605762787
r2,0.0016950504328735925,2.0873213127617962e-05,0.0015737183266207413,0.987835581626105
rmse,0.0025142490177196652,5.786906832259763e-05,0.0023562442557201807,0.9775013951977449
mae,0.0017923553185798752,5.372689852982478e-05,0.0016898992913732128,0.9708968007860767
mean_signed_error,0.005565862035783357,0.00012505720806421072,0.005213593468016723,0.9780251304392679
calibration_slope,0.0017071617502444712,2.763167133060506e-05,0.0015903580737597037,0.9840720681857801
