metric,n,mean,sd,p2_5,p25,median,p75,p97_5,min,max
r,10,0.604348031888268,0.02488685471668464,0.581958872349481,0.5843099968271881,0.5951412650825627,0.6171179151482471,0.648142976065987,0.5819551503595233,0.6506760301134727
spearman_rho,10,0.6015712403317616,0.023302924054034984,0.5719416842350121,0.5851464337446761,0.5954977377736437,0.6235395487396539,0.6319355694697425,0.5717626731613787,0.633641482565081
r2,10,0.333504985917458,0.041170990185731414,0.2919089499745133,0.30086600948653075,0.32064779099191776,0.3556256455517931,0.40356144033696656,0.29099860608250205,0.40773524206490264
rmse,10,2.221671258256406,0.05014228771924617,2.1450804537792867,2.1796193433836217,2.2416166788730982,2.259907808888767,2.279082346262153,2.1396092238238102,2.2836833159265755
mae,10,1.5862537327015964,0.04233621757526144,1.5281375508666857,1.5490814713389562,1.5881564037235463,1.618734611578594,1.6407273991660225,1.5257507348200812,1.6419872528439914
mean_signed_error,10,0.1222225519563827,0.07460470518528545,-0.012849671955972995,0.10333366643237994,0.14536110778007086,0.17290717294857072,0.1943510031296188,-0.019263614485294043,0.19636624079017012
calibration_slope,10,0.7825024067389734,0.041317813957716484,0.7266577313538017,0.7461603926241577,0.7878617224531338,0.8090119966326066,0.838958396991679,0.721290206066259,0.8390982710943998
