,fa_531,fa_536,fd_723,fa_764,fa_984,fd_527,fa_523,fa_416,fd_372,fa_584
fa_531,1.0,-0.20246388678885027,0.10430977949591257,-0.21048356744279842,0.9435294477270816,-0.1714181749535606,-0.5364378416503395,-0.20376456683187985,-0.16957170934304705,-0.5953966382767614
fa_536,-0.20246388678885027,1.0,0.024116826842368978,0.7859967791668978,-0.20564388714545004,0.18814575128960007,0.33488673323528806,0.6867918032597892,0.18339252406041776,0.3282623525225921
fd_723,0.10430977949591257,0.024116826842368978,1.0,0.005312531582160098,0.07093026627050367,0.034989732020257326,0.10489438758277539,0.005027796049594016,0.11265687232133742,0.10794170491017516
fa_764,-0.21048356744279842,0.7859967791668978,0.005312531582160098,1.0,-0.21838379696679838,0.2722589102440455,0.30743393395589275,0.6830349536869476,0.2590045299327157,0.32729594246599897
fa_984,0.9435294477270816,-0.20564388714545004,0.07093026627050367,-0.21838379696679838,1.0,-0.1770114677691283,-0.5756423853983196,-0.20647271578075688,-0.17365362904864523,-0.6337867696681505
fd_527,-0.1714181749535606,0.18814575128960007,0.034989732020257326,0.2722589102440455,-0.1770114677691283,1.0,0.2360022061205155,0.20201021994352866,0.8520043332920365,0.25774413007035674
fa_523,-0.5364378416503395,0.33488673323528806,0.10489438758277539,0.30743393395589275,-0.5756423853983196,0.2360022061205155,1.0,0.2957238137724214,0.24368824062512823,0.9205726617498292
fa_416,-0.20376456683187985,0.6867918032597892,0.005027796049594016,0.6830349536869476,-0.20647271578075688,0.20201021994352866,0.2957238137724214,1.0,0.1962802890455793,0.2951557400668678
fd_372,-0.16957170934304705,0.18339252406041776,0.11265687232133742,0.2590045299327157,-0.17365362904864523,0.8520043332920365,0.24368824062512823,0.1962802890455793,1.0,0.25791353982833876
fa_584,-0.5953966382767614,0.3282623525225921,0.10794170491017516,0.32729594246599897,-0.6337867696681505,0.25774413007035674,0.9205726617498292,0.2951557400668678,0.25791353982833876,1.0
