original_feature_index_zero_based,feature_name_zero_based,molecular_side,selected_by_training_only_MI,mean_absolute_shap,rank_by_mean_absolute_shap
180,fd_180,donor,False,,
181,fd_181,donor,False,,
182,fd_182,donor,False,,
183,fd_183,donor,False,,
184,fd_184,donor,False,,
185,fd_185,donor,False,,
186,fd_186,donor,False,,
187,fd_187,donor,True,0.0007056247698279,458.0
188,fd_188,donor,False,,
189,fd_189,donor,True,0.0096713547354088,106.0
190,fd_190,donor,False,,
191,fd_191,donor,False,,
192,fd_192,donor,True,0.0021310994493106,336.0
193,fd_193,donor,False,,
194,fd_194,donor,True,0.00315158860158,260.0
195,fd_195,donor,False,,
196,fd_196,donor,False,,
197,fd_197,donor,True,8.246828202541143e-05,575.0
198,fd_198,donor,False,,
199,fd_199,donor,True,0.0003915647098465,502.0
200,fd_200,donor,False,,
201,fd_201,donor,False,,
202,fd_202,donor,False,,
203,fd_203,donor,False,,
204,fd_204,donor,False,,
205,fd_205,donor,True,0.0049201729829208,192.0
206,fd_206,donor,False,,
207,fd_207,donor,False,,
208,fd_208,donor,True,0.0051871406675636,186.0
209,fd_209,donor,True,5.708098468851871e-05,578.0
210,fd_210,donor,False,,
211,fd_211,donor,True,0.0008686154954211,439.0
212,fd_212,donor,False,,
213,fd_213,donor,False,,
214,fd_214,donor,False,,
215,fd_215,donor,False,,
216,fd_216,donor,False,,
217,fd_217,donor,False,,
218,fd_218,donor,False,,
219,fd_219,donor,True,0.005792206348204,172.0
220,fd_220,donor,False,,
221,fd_221,donor,True,0.0002339101292293,540.0
222,fd_222,donor,False,,
223,fd_223,donor,True,0.0008398246832633,441.0
224,fd_224,donor,False,,
225,fd_225,donor,True,0.0066773771714255,162.0
226,fd_226,donor,False,,
227,fd_227,donor,False,,
228,fd_228,donor,False,,
229,fd_229,donor,False,,
230,fd_230,donor,True,0.0020486238533487,339.0
231,fd_231,donor,False,,
232,fd_232,donor,False,,
233,fd_233,donor,False,,
234,fd_234,donor,False,,
235,fd_235,donor,False,,
236,fd_236,donor,False,,
237,fd_237,donor,True,0.0023180376555018,315.0
238,fd_238,donor,False,,
239,fd_239,donor,False,,
240,fd_240,donor,False,,
241,fd_241,donor,True,0.0088379780691711,125.0
242,fd_242,donor,False,,
243,fd_243,donor,False,,
244,fd_244,donor,False,,
245,fd_245,donor,False,,
246,fd_246,donor,False,,
247,fd_247,donor,True,0.0007892143322821,446.0
248,fd_248,donor,False,,
249,fd_249,donor,False,,
250,fd_250,donor,False,,
251,fd_251,donor,False,,
252,fd_252,donor,False,,
253,fd_253,donor,False,,
254,fd_254,donor,False,,
255,fd_255,donor,False,,
256,fd_256,donor,False,,
257,fd_257,donor,False,,
258,fd_258,donor,False,,
259,fd_259,donor,False,,
260,fd_260,donor,False,,
261,fd_261,donor,False,,
262,fd_262,donor,True,0.0009674501011097,423.0
263,fd_263,donor,True,0.002227262083228,323.0
264,fd_264,donor,False,,
265,fd_265,donor,True,3.90204654027988e-05,583.0
266,fd_266,donor,False,,
267,fd_267,donor,False,,
268,fd_268,donor,False,,
269,fd_269,donor,False,,
270,fd_270,donor,False,,
271,fd_271,donor,False,,
272,fd_272,donor,False,,
273,fd_273,donor,False,,
274,fd_274,donor,False,,
275,fd_275,donor,False,,
276,fd_276,donor,False,,
277,fd_277,donor,False,,
278,fd_278,donor,False,,
279,fd_279,donor,False,,
280,fd_280,donor,False,,
281,fd_281,donor,False,,
282,fd_282,donor,True,0.0021423897167845,335.0
283,fd_283,donor,False,,
284,fd_284,donor,False,,
285,fd_285,donor,False,,
286,fd_286,donor,False,,
287,fd_287,donor,False,,
288,fd_288,donor,True,8.65743426568967e-05,573.0
289,fd_289,donor,False,,
290,fd_290,donor,False,,
291,fd_291,donor,False,,
292,fd_292,donor,False,,
293,fd_293,donor,True,0.0023926064981783,306.0
294,fd_294,donor,False,,
295,fd_295,donor,True,0.0013952479506628,397.0
296,fd_296,donor,True,0.0043954722624859,203.0
297,fd_297,donor,False,,
298,fd_298,donor,False,,
299,fd_299,donor,True,0.0013199672271126,402.0
300,fd_300,donor,False,,
301,fd_301,donor,False,,
302,fd_302,donor,True,0.0070942483994937,150.0
303,fd_303,donor,False,,
304,fd_304,donor,True,0.0043667246613626,204.0
305,fd_305,donor,False,,
306,fd_306,donor,False,,
307,fd_307,donor,False,,
308,fd_308,donor,False,,
309,fd_309,donor,False,,
310,fd_310,donor,True,0.0028232528612246,285.0
311,fd_311,donor,False,,
312,fd_312,donor,False,,
313,fd_313,donor,False,,
314,fd_314,donor,True,0.0180097951311226,57.0
315,fd_315,donor,True,0.0010787078326882,414.0
316,fd_316,donor,False,,
317,fd_317,donor,False,,
318,fd_318,donor,True,0.0078504107053139,135.0
319,fd_319,donor,False,,
320,fd_320,donor,False,,
321,fd_321,donor,False,,
322,fd_322,donor,False,,
323,fd_323,donor,False,,
324,fd_324,donor,False,,
325,fd_325,donor,False,,
326,fd_326,donor,False,,
327,fd_327,donor,False,,
328,fd_328,donor,False,,
329,fd_329,donor,False,,
330,fd_330,donor,False,,
331,fd_331,donor,True,0.0053037130484044,185.0
332,fd_332,donor,True,0.0159389635003897,65.0
333,fd_333,donor,True,0.0036376166838263,234.0
334,fd_334,donor,False,,
335,fd_335,donor,False,,
336,fd_336,donor,False,,
337,fd_337,donor,False,,
338,fd_338,donor,False,,
339,fd_339,donor,False,,
340,fd_340,donor,True,0.0003474324119754,507.0
341,fd_341,donor,False,,
342,fd_342,donor,True,0.0008268282302508,442.0
343,fd_343,donor,False,,
344,fd_344,donor,False,,
345,fd_345,donor,False,,
346,fd_346,donor,False,,
347,fd_347,donor,True,0.001575274259444,381.0
348,fd_348,donor,False,,
349,fd_349,donor,True,0.0013420439825952,401.0
350,fd_350,donor,False,,
351,fd_351,donor,False,,
352,fd_352,donor,False,,
353,fd_353,donor,True,0.0,598.0
354,fd_354,donor,False,,
355,fd_355,donor,False,,
356,fd_356,donor,False,,
357,fd_357,donor,False,,
