donor_smiles,acceptor_smiles,PCE
O=C1C2=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C2C(C3=C(C4=CC=C(C5=CC(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C(SC=C7)C7=C8C9=CC(F)=C(CC(CC)CCCC)S9)=C8S5)S4)SC(C%10=CC=CS%10)=C31)=O,CCCCC(CN1N=C2C3=C(C4=C(C5=C(N4CC(CCCC)CC)C6=C(C(CCCCCC)=C(S6)/C=C7C(C(C=C(F)C(F)=C8)=C8C\7=C(C#N)\C#N)=O)S5)C2=N1)N(CC(CCCC)CC)C9=C3SC%10=C9SC(/C=C%11C(C%12=C(C=C(F)C(F)=C%12)C\%11=C(C#N)/C#N)=O)=C%10CCCCCC)CC,16.37
CC(C(F)=C(C(C1=CC=C(S1)C)=C2N=C3[Mg])F)=C2N=C3OCC(CCCCCC)CCCCCCCC,O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CC)CCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NSN=C4%11)=C%12N5CC(CC)CCCC)=C%12S3,16.32
O=C1C2=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C2C(C3=C(C4=CC=C(C5=CC(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C(SC=C7)C7=C8C9=CC(F)=C(CC(CC)CCCC)S9)=C8S5)S4)SC(C%10=CC=CS%10)=C31)=O,O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CC)CCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NSN=C4%11)=C%12N5CC(CC)CCCC)=C%12S3,16.26
O=C1C2=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C2C(C3=C(C4=CC=C(C5=CC(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C(SC=C7)C7=C8C9=CC(F)=C(CC(CC)CCCC)S9)=C8S5)S4)SC(C%10=CC=CS%10)=C31)=O,CCC(CN1N=C2C3=C(C4=C(C5=C(N4CC(CCCC)CC)C(SC(/C=C6/C(C7=C(C6=O)C=C(C(F)=C7)F)=C(C#N)/C#N)=C8CCCCCC)=C8S5)C2=N1)N(CC(CCCC)CC)C9=C3SC%10=C9SC(/C=C%11C(C%12=C(C=C(F)C(F)=C%12)C\%11=C(C#N)\C#N)=O)=C%10CCCCCC)CCCC,16.17
FC(C=C(C1=C2SC=CC2=C(C3=CC(F)=C(CC(CCCC)CC)S3)C4=C1C=C(C5=CC=C(C6=C(C(C(C7=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C78)=O)=C(C9=CC=CC9)S6)C8=O)S5)S4)S%10)=C%10CC(CC)CCCC,O=C(C(C=CC(Br)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CCCCCCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C%10=C(C=CC(Br)=C%10)C\9=C(C#N)/C#N)=O)S7)C%11=NSN=C%114)=C%12N5CCCCCCCC)=C%12S3,16.11
CC1=CC(B(N2CC(CCCCCCCC)CCCCCC)C3=CC=CC=C3)=C(S1)C(C=C4N(B5C6=CC=CC=C6)CC(CCCCCC)CCCCCCCC)=C2C=C4C(S7)=C5C=C7C8=CC=C(C9=C%10C(C(C%11=C(SC(CC(CCCC)CC)C%11C%10=O)CC(CC)CCCC)=O)=C(S9)C%12=CC=C(C)S%12)S8,O=C(C1=C(C=C(F)C(F)=C1)C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CCCC)CCCCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NSN=C4%11)=C%12N5CC(CCCCCC)CCCC)=C%12S3,16.1
[F]C1=C(CC)SC(C2=C3C(C=C(C)C3)C(C4=CC([F])=C(S4)CC)=C5SC(C6=CC=C(S6)C7=C(C(C8=C(SC(CC)=C8C9=O)CC)=O)C9=C(C%10=CC=C(S%10)C)S7)=CC25)=C1,O=C(C/1=C\C2=C(C3=C(S2)C(N4C5=CC=C(CCCCCC)C=C5)=C(C6=C4C7=C(C8=NSN=C68)C(SC9=C%10SC(/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)/C#N)F)=O)=C9CCCCCCCCCCC)=C%10N7C%13=CC=C(CCCCCC)C=C%13)S3)CCCCCCCCCCC)C%14=CC(F)=C(F)C=C%14C1=C(C#N)/C#N,16.09
O=C1C2=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C2C(C3=C(C4=CC=C(C5=CC(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C(SC=C7)C7=C8C9=CC(F)=C(CC(CC)CCCC)S9)=C8S5)S4)SC(C%10=CC=CS%10)=C31)=O,O=C(C1=C(C=C(F)C(F)=C1)C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CCCC)CCCCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NSN=C4%11)=C%12N5CC(CCCCCC)CCCC)=C%12S3,16.0
O=C1C2=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C2C(C3=C(C4=CC=C(C5=CC(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C(SC=C7)C7=C8C9=CC(F)=C(CC(CC)CCCC)S9)=C8S5)S4)SC(C%10=CC=CS%10)=C31)=O,CCCCC(CN1N=C2C3=C(C4=C(C5=C(N4CC(CCCC)CC)C6=C(C(CCCCCCCCCCC)=C(S6)/C=C7C(C(C=C(F)C(F)=C8)=C8C\7=C(C#N)\C#N)=O)S5)C2=N1)N(CC(CCCC)CC)C9=C3SC%10=C9SC(/C=C%11C(C%12=C(C=C(F)C(F)=C%12)C\%11=C(C#N)/C#N)=O)=C%10CCCCCCCCCCC)CC,15.65
CC1=CC=C(S1)C2=C3C(C(N(C3=O)CCCCCCCC)=O)=C(C4=NN(N=C24)CCC(CC)CCCC)C5=CC=C(S5)C6=CC7=C(C8=C(C(C9=CC(F)=C(C(F)=C9)CC(CC)CCCC)=C7S6)C=C(C)S8)C%10=CC(F)=C(C(F)=C%10)CC(CC)CCCC,O=C(C/1=C\C2=C(C3=C(S2)C(N4C5=CC=C(CCCCCC)C=C5)=C(C6=C4C7=C(C8=NSN=C68)C(SC9=C%10SC(/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)/C#N)F)=O)=C9CCCCCCCCCCC)=C%10N7C%13=CC=C(CCCCCC)C=C%13)S3)CCCCCCCCCCC)C%14=CC(F)=C(F)C=C%14C1=C(C#N)/C#N,15.65
