representation,representation_hash,group_size,n_inhouse,n_gao,cross_source,pce_min,pce_max,pce_range,pce_mean,pce_sd,array_indices,sources
acceptor_fingerprint,9fb56fb1c2cba87179da435c7f61a3fe8ecb8988bf7e5c89d554e84929b345c2,2,2,0,False,6.170000076293945,6.690000057220459,0.5199999809265137,6.430000305175781,0.36769551038742065,581;607,in-house;in-house
acceptor_fingerprint,a3406b5e4edefe3e2c4839b86eca3cc419dcab58dd63484cd2852f990ceb7789,8,8,0,False,3.0899999141693115,12.300000190734863,9.210000038146973,10.453750610351562,3.143101215362549,135;139;141;164;184;262;396;687,in-house;in-house;in-house;in-house;in-house;in-house;in-house;in-house
acceptor_fingerprint,a433e8dda363706531619e2d0b0b70340c238a7fbfbf37dd65e5dd78ad71135a,2,0,2,False,1.7000000476837158,3.890000104904175,2.190000057220459,2.7950000762939453,1.548563838005066,954;1247,Gao;Gao
acceptor_fingerprint,a54b17d22bddcb758f5f8948a3890484beeb462eed284edcd84f6298e1d7320b,2,2,0,False,11.829999923706055,12.539999961853027,0.7100000381469727,12.184999465942383,0.5020458102226257,115;174,in-house;in-house
acceptor_fingerprint,a6653ba0f41ec6ed2c028fe1a640d1c79bd52becd21ec5d4ad7bdcdff8383e80,2,2,0,False,9.670000076293945,10.300000190734863,0.630000114440918,9.985000610351562,0.44547736644744873,314;365,in-house;in-house
acceptor_fingerprint,a6ee7eac000b55438368ee0be0ea7692e3d98de164d7b03c27c0579b9c98612f,6,6,0,False,5.900000095367432,11.119999885559082,5.21999979019165,9.55666732788086,1.852421760559082,225;293;339;340;360;617,in-house;in-house;in-house;in-house;in-house;in-house
acceptor_fingerprint,a7c4b5541b8a9fcdc451b3fdf50c088a6f31721140ab77690d39d1dcc9517b61,3,3,0,False,9.029999732971191,11.75,2.7200002670288086,10.40000057220459,1.3601104021072388,178;298;433,in-house;in-house;in-house
acceptor_fingerprint,ac6855b2f7be76612673208e20fb98b2b88962ccfd601a89b0591d6e05c6efbb,3,3,0,False,10.420000076293945,11.270000457763672,0.8500003814697266,10.869999885559082,0.4272003769874573,211;244;297,in-house;in-house;in-house
acceptor_fingerprint,b3e40ff429e054dc684a6361009cc39219423b0b1a0291f248d2d008df89e511,2,2,0,False,11.470000267028809,12.5,1.0299997329711914,11.985000610351562,0.7283198237419128,122;198,in-house;in-house
acceptor_fingerprint,bedf5079ebc0e6d10806aa1c5a2e9a6816472a6ac3cd0bb1088e66dd908b9154,2,2,0,False,4.170000076293945,12.069999694824219,7.899999618530273,8.119999885559082,5.5861430168151855,160;664,in-house;in-house
acceptor_fingerprint,c67b311bb15a63b3ba415d55561900d7ceb1b98a023b73169bbc1070d1a6b7d8,2,0,2,False,4.199999809265137,6.960000038146973,2.760000228881836,5.579999923706055,1.9516148567199707,886;1192,Gao;Gao
