array_index,source,source_row,donor_smiles,acceptor_smiles,experimental_PCE,pair_key,donor_fp_hash,acceptor_fp_hash,pair_fp_hash,legacy_sequence_hash,role_aware_sequence_hash,pair_fp_group_id,legacy_sequence_group_id,role_aware_sequence_group_id,safe_any_encoding_group_id
12,Gao,12,,,9.2,Gao_0012,e72f281cc50999b0c12d6ba8ba1f41629ec64f6e5965d3c552378e1c8d49394a,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,e2faabfa2b7046f170c0421558b83e91184f0d7e33a7ab6afad4eb7ccaaa3818,3c605f372a9c5ab3687b664418536d261ce83b237d3e28ffdcaf6d813fc003ce,a56d979b76c94ed42315ae18c581a5374c16de6cbe583ea555f3e1d31442b424,1075,294,760,691
13,Gao,13,,,1.4,Gao_0013,15c55b41ed46414b691d6c4f9b5949cae571472a6db0368941e0e33b29aba964,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,4287c4dfa18c8b4454ca41625863806c644bba5b8e7be52c1248ffb9691b9729,917cec9b49c5cd9a2c07d90ca2b478e2f68b274dadd2e04b00921b8fc30da3f2,e7c63baab16065036e5750a49f9c1662d6be971f5f029938654fee175327894b,303,682,1078,692
14,Gao,14,,,2.4,Gao_0014,c2556d93b1549bc7fdb40cc0d6d512df479a2da1ce193bb799446ddb7d7c57b7,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,e4626df64145485423f176867f544fe11cbefa75a5a5354bf786fe4ca636df51,1d1649c1fcb03e52b25836ad14ed7c57b02aa74be7c44f320624ab837659c761,665bcd7af5683f739724983dd82c6090143627885cb5d0798b6c1769cc1b2eff,1080,143,463,693
15,Gao,15,,,2.8,Gao_0015,7e726857fc0ac32532860051ca2d2ff6bd5b6d12e168b21321afdcd30c253f2c,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,c42621613b0c43787bef317934fb73de07d6d00a0a11861e6a5098c6a1e4321d,fc916b9c73cd604583e87374265adaf5e74b081fbd937efa92568f2731ae2a4f,698bcec9b3e09d9caba0b0deb1e55282a40dff1c0c3d63cf0a18dba69080ce3d,939,1174,477,694
16,Gao,16,,,5.16,Gao_0016,60514640fc94b611db593716d3d4503a30a3dc396027177ce901f14080ad5272,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,804745ca8144cf16540b20922bc8a06587c3e308c8f49cd3bbc0f06cb748e8fd,b1235d0f2e0d6a1ebfc2cb82e6f08fbc081b0b5be241b76276573016d2875d29,a7c867df87082e2aaf7f907d0e5054fb9f2cd3bd252a6981b8a10d2db44d60eb,588,803,772,695
17,Gao,17,,,4.08,Gao_0017,9cec661afa522d145e8429f682d8e84bb6a039ec157a7b101bc7a11daa82cf4a,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,19ab942d7c6e9bb7facdc163397f920237c87c6b208d3ed77f8469d5a8d25806,06ac7d92538d91b49e1245bd86ea296d7f8d36253e9cd8271c552c2235e917ea,a112bd780bbd1e0c85c5d99bf6ca46dadd45ab81ec0f1cacc5a458cc7e0c0452,123,30,734,696
18,Gao,18,,,5.69,Gao_0018,168e2b1d0723b27f9cad8856f242bb040323a347ef127604c69a673f86c1ff37,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,3c32c3d5630d015f603cbe46f51a1aea6f3e625b8a242fd97e562b0ee4e99c3e,e63a13765ebb824cbbeadbe40dfe8dc9108e054638fc030db13180835e6d2e51,d9f49d8cdbd8d19f17e8cff6c33d0874f76c56b760b434a0239607d71c376fa0,267,1062,1001,697
19,Gao,19,,,4.34,Gao_0019,11d8e33a91921c32a77947109d8c28c62988d9583156e987f0af9dea9868c397,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,282de9897d5cbf210ef9c615b1a5891292b7ae879ea0669f9e198eb6e9b73995,92c46206b66f0a1e4f238e3c7d0882371b8c8fab81d337ce6d7a2b5f3d4abda3,5028bd533745fb0a0b76488e16dd0c2242bbb1e1fae59f1abd37d925a8e70dbe,173,691,356,698
20,Gao,20,,,2.43,Gao_0020,fc945ff50c7820fa8010c52c30a49c6d5c2e9a7446f0548435a0aeb41a4fa3c8,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,46eb406024e2429fa324255efa48a00318fa6ea72edccdf7fbe5e1ff3f5fd489,555a135d33064c833910280b519c1b6e8beaefb4d80afdc98bcb21c61e7cdd62,06e7235fdb0ed3758eb787796ece49543094a7f97a25d8205bf427234a0049c0,328,408,33,699
21,Gao,21,,,1.1,Gao_0021,f7dea8a85fe8a651f3b56497ff8ab540086c28ceeb51ef0a8fe0ea28f29c715c,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,b9622a8ac416c44d1862b3ca3857cf1658b0c243797524dc382ed5adbe3bfe66,30538af46050e791541af3c99e6aecfda7859d388229de509505ced6066a103f,c3a269bbd4e57619f476cf747429765be57da378231c285b4452f12aa5f264a3,876,244,899,700
22,Gao,22,,,1.94,Gao_0022,ae2fbc3797382ff6659283418c844c33027ff910db5e780da484650da8d536d1,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,6ce994fc5b278b6981d6d93d4b4181d155f7d7f9163692b8408da1959c2fb7a9,233fa35662cf23ed2cd4e8dd862d759d889ca18688bfd194253d78b5fb4b17a1,c0c1c158a74cd0f95d436c25cf4110e7ee5d2ad31b501aa9ad49a03a33a3afbe,494,170,892,701
23,Gao,23,,,3.94,Gao_0023,a3ac5136aaa7b0202de2b36c537240646b8036fbd8436757fb7574d387c53ff2,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,5991b378dc2c8ca15858c5ccf862511eb7e2259f9866f2bc52ad788c70d943a9,41fbae44cfaf9c16719861b058885ca1ee9780647b7af6382fb38d2f11235aba,b52a6449be1f8c22cd79fd750a423449c08a53902d5abcba2e8f774cf3ea67a8,404,317,839,702
24,Gao,24,,,7.03,Gao_0024,b45dd9993a2a522babfd0c325e13e70f7d76dc27fea3996726937a9cf8082680,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,25f8697a2b6ff05329ce0fb1ac9f9950c11ad0840c06fca88ed13fcddc2bc91a,d57e4ad633acea2ca60199a67ac63f794bfac7e4155b0efa9282797db0ee5c67,35922f3dd010ba3bf72652be21db8f3d1cb9d8ddaadc2e4e21dd7a02ffb913ff,169,989,240,703
25,Gao,25,,,2.76,Gao_0025,1d3d23f9a373d200240609719390e74d28b6866b74c1639f4477478aeee236ed,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,bf91a53d3c26c6c9f8233d001fc63e967ea39467cc8a4db85a180ef5d9939b7b,440b62d9d912f32efd2856cc9788136bc052383af1608df19ecb499611e3bede,86ceec95f1771bcadd0a97eccda9d78a9acf09207e65e0f64b26e5a19e97997e,908,325,612,704
26,Gao,26,,,3.61,Gao_0026,569cc5045237e0e2e7a067d1a46628a71d248aca2842abf513f87213e2e21a5d,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,f62e25d2999dca45e84cbe58d07a2f43504ffac45b3ca3ed2b3bc79c9a206050,c96cb3bef06cc8f4a03ebdd85a6200bdbb2cff928d510f727a59a32d7cba8652,d008d2f1bb5f2add0107bf563d991b6f76158ac8e878bdc837a6148aa6e64692,1151,924,950,705
27,Gao,27,,,3.15,Gao_0027,81c2da12bf8be4d31eea119f04fc3ac7a1296a0c71749815dc8b64237344621f,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,025c8af4cbd8b051115b6723c8f285a057656ebc43049236bd3a7b2e0f38834b,6caaa9e0470b26f8c41158b44ccdde84b154fb35fa3a54581d788daa458a36ff,d6a007e5a02d2b343ccab390487c24cc8812a2ec443f6b8ce8840ae32c9295af,10,528,985,706
28,Gao,28,,,2.56,Gao_0028,db2c9209b930517d33ee940b9257715d6f4fa6a164829ffd9876e63b23aae4c0,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,a8d79dfd3b4dbaa35639fd835fc6f64d1f096ca79ac7cf5b30b8806db91619a5,bb8d6877bfd55688e52f6a7ec31fa2fd3e9e33c735ff9f3246c890a363361383,d6de8d33bce3dcab8b6890ea54784d70d280fac8c60851b98d51165e0451f899,777,860,987,707
29,Gao,29,,,3.68,Gao_0029,97b5eb5d93249fc070b45dd673098a2665e7ed2fdbd9c94a4630e497ac69f6e3,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,74ea2331137036730da1b093c8f126abd950e6e978153bb4c8138d885f8c7209,f4facbe3579ef1218fbedbe7c72dc50ee2c80f76d6e3d7a1be1e633ef19b8f8a,468d84def8e5613d8fe86dc7430feccdda8e29007de35fe370c8eef2cc15daf9,530,1140,312,708
30,Gao,30,,,0.01,Gao_0030,648b0853188dc1fbde2b38c7df1ae92d5e6d3c990f8c26f8f5cdfaaf753ec44d,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,a66c916da7ca3ddf19e8c9843636e905cd47c909e33cf028611bbec13c61586a,00270d7277e1c340736f85286396034300e0e6cea247a738310af368faf8cfd9,91b69139ae5be5b2f6fa780d87666c7fd3ae94cea47cf6d8ebc3f411c6562170,772,1,663,709
31,Gao,31,,,2.09,Gao_0031,44c07647e56ce0b1829aec9741ebe0c32b803a6f5be31ba5d3a3c9a5b73a2b74,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,94ce84d77364f7496f28d0bc8f8805ae1aea4fe1ef6e7e141a4e717ce5526c37,6996ebb610bb22b5dea9eca1441efff41ce1d704d2ca2f8f53a4fadc35592399,9d8f415d5e6107810e2094e42c2f4f5e7d4b527bc21eba3ca8fe346b39133c08,681,511,718,710
32,Gao,32,,,4.26,Gao_0032,a21845df9ee8016166b985ba8391c9534a5a6c1685306f54c101b503e0d31060,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,2b9a15cd5bad00c0c73330bfd67ab2ae64ed06c4c9c12b4b5ad46f182a8dbb6b,50209e6369ad8b2eea7c03a990fb793827ff8440a336bfbdb3544e6f8629d3f9,d560dbe454da193686ee7fba87929e364c9f2af83667de743a53c03b6b644967,189,385,980,711
33,Gao,33,,,2.23,Gao_0033,f23be6c4e45696556a096cac087405d43104d173bf1bde0a61bfc292d7c39924,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,d642926748379632af907ec70ae44a6d32659c4c07913c5b2ca1ca5503ecc30f,e35ee5eeea1eed3d960e361ecd80fc3674e9905b77034711b0779d17981b5417,4165779d95192e8cbb24d3557cab94850fc779443bce1d1d5f9d02062041fa75,1017,1048,285,712
34,Gao,34,,,2.43,Gao_0034,21f2b072ddf80509f7a26c16e9d7b746fc759cce061694263ef4479c5eaf50f4,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,69ad7b17e063e2363cfe28b5490d065f8a1fab768fcb3492e93fb6443d37e361,5a30aa78df0ffb1ef729407cb0d99277ed298cb644e19497e5d59b9c9f490269,fb289fe79284d30ffc11a4df4e960fd6e22a123bb44694de0e36519841373f2d,477,426,1169,713
35,Gao,35,,,3.25,Gao_0035,7dd746d119f21beb11e13b3005cee20e0d38f2760e1fdfc1c3aeb095820b6ba6,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,4aa3e8c07a6aaa566beefea76bd539d1f4118d9d72628b778f3101550c36519c,e62e138f14f15cc9b711206f17fa4963bcab0c6f438881aba5b970769f0fcb80,c9a46e954d1a896437e78c30987601e10aa77c395c3284e820333ec134b73ab8,347,1061,924,714
