pce_bin,n,experimental_min,experimental_max,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
"(0.009000000000000001, 1.216]",22,0.0099999997764825,1.2100000381469729,0.3932074647562539,0.38337612521293013,-15.079892786055712,1.3978837733688665,1.1069063130258159,1.0610439092428847,0.46998318531492894,0.138617867226109
"(1.216, 2.598]",21,1.2400000095367432,2.569999933242798,0.22690796321788942,0.20201365144692293,-9.354274803647053,1.3445462860845732,1.1055626670519512,0.8651193862869626,1.6929750416905953,0.09114788173941876
"(2.598, 4.324]",21,2.640000104904175,4.300000190734863,0.16933203336792133,0.11692108443873353,-5.787804436868777,1.2593102222982955,1.05404569989159,0.050504934220086936,3.188111999053675,0.0656629842706018
"(4.324, 6.034]",21,4.340000152587891,6.010000228881836,0.2209305230518383,0.024041590520327463,-12.446993698576753,1.4427795662827616,1.2233023870558966,-0.9462320236932664,4.859172633389464,0.07857639104664937
"(6.034, 9.87]",22,6.039999961853027,9.869999885559082,0.34893808793629055,0.32985033792032614,-4.631136826763584,2.903560708662174,2.540054830637845,-2.5173146399584683,5.804078539211489,0.32603758205295547
