branch,split_seed,model_seed,best_valid_rmse,test_r,test_spearman_rho,test_r2,test_rmse,test_mae,test_mean_signed_error,test_calibration_intercept,test_calibration_slope,valid_r,valid_spearman_rho,valid_r2,valid_rmse,valid_mae,valid_mean_signed_error,valid_calibration_intercept,valid_calibration_slope
gao_only,12,0,1.6477029039874174,0.704268632554721,0.709425071158222,0.4765959193784532,1.791582709451754,1.4137782335942872,-0.3054272695575084,-0.0420176893536109,1.1011693019666244,0.6834875085795452,0.7037216247001075,0.4647831728968263,1.6477029039874174,1.285955941550574,-0.0763206226786352,0.2535526548216197,0.9513111447467654
gao_only,12,1,1.734672971554479,0.6346313246458725,0.6276261713448505,0.3892635333946278,1.9352863631215536,1.5996438410899072,0.1048026353503777,-0.8947864731965953,1.2054829670034335,0.6615118297512401,0.6717067865627164,0.4067917692905386,1.734672971554479,1.3709715533790725,0.3944921883631427,-0.3257397877759772,0.983275613849171
gao_only,12,2,1.783421976045067,0.6706491793851389,0.6810092727381148,0.3923686499839228,1.930360386262432,1.5820848586507767,-0.3399574287479447,-1.0675416150107846,1.413999264770975,0.6133981476475114,0.6516672720107223,0.3729817629376003,1.783421976045067,1.4466067520936703,-0.0001404744414788,0.3172905307009456,0.9146591439230696
gao_only,12,3,1.8072867949309748,0.6305834978274331,0.6343860061698371,0.3787574799929221,1.951861045483542,1.5610534917632832,-0.2716884071477384,-0.2518855857888264,1.1509715346239462,0.604319202782265,0.6087254551135921,0.3560886272577199,1.8072867949309748,1.4510181548319898,-0.1163190724855324,0.5385123038227109,0.8827272299265794
gao_only,12,4,1.7558065566675003,0.7438501502733859,0.7440667754207623,0.5438626896007563,1.6724999329479904,1.2950206751473874,-0.1787370915968563,-0.1629297948695943,1.0959473641405366,0.6409335288268223,0.6617475107189689,0.3922495658056759,1.7558065566675003,1.3746362060730188,0.147492036715431,0.4593056138547404,0.842957495552232
gao_only,12,5,1.8189385052317888,0.5947870106236044,0.5856956017058027,0.2720534804392526,2.112846991021992,1.743948254194633,-0.5634407845508551,-0.7399936276968118,1.410365236667151,0.5947723379743352,0.6325954603747198,0.3477591757028475,1.8189385052317888,1.4400491885278586,-0.0971267187511021,0.4502579841805026,0.9024307459981422
gao_only,12,6,1.7068703881639775,0.7463164170646426,0.7524577877796045,0.552122278987887,1.6572882075817204,1.293640625932924,-0.1724217906072039,0.1519798661062197,1.0057303666616697,0.6605790670600867,0.6888431923667355,0.4256547509489123,1.7068703881639775,1.2961898808068824,0.0061413580376022,0.4979075683938523,0.8645960283437384
gao_only,12,7,1.8036035780532969,0.5078422763692054,0.4928948257932137,0.235937202022853,2.164625835424689,1.7831218670009177,-0.3582904713628727,0.1297734964203557,1.0675799981370289,0.6009739284493764,0.5752187416473805,0.3587105116621609,1.8036035780532969,1.4402320240887831,-0.0078170803498547,0.2898678859545989,0.9239467837636604
gao_only,12,8,1.8481552430897243,0.5546096414517793,0.5294077307102071,0.2957226771277152,2.078213504838869,1.7413266124116762,-0.0310478393058074,-0.8680800290165817,1.2424393216022536,0.5810413770613757,0.5867505347296146,0.3266376307660217,1.8481552430897243,1.5236217651586488,0.2212324673134201,0.0107197614461428,0.9410937048149578
gao_only,12,9,1.8057517091744968,0.5006340576132023,0.4950942213268506,0.2500596798446151,2.144527709975023,1.7874420085904477,0.015081416345506,0.1511332076835374,0.9557327744324836,0.6274505154303114,0.655497762719856,0.3571820224923406,1.8057517091744968,1.4843843716354863,0.3710130129079774,0.1754355700369926,0.8663099214181628
gao_only,12,10,1.8045066857682388,0.5280059971866857,0.5066937060120452,0.2593558143396228,2.131194659565049,1.788691408288117,-0.1106050782010098,-1.0998059101831474,1.3335279108766378,0.6099010180327573,0.6099754047134146,0.3580681327164529,1.8045066857682388,1.466204554615718,0.1741941123497936,-0.8393389349903306,1.1709616128857472
gao_only,12,11,1.7930232842728422,0.753058589323255,0.7615198851899128,0.5419977206490719,1.675915547738496,1.3145700087161545,-0.2828243373605971,-0.3072418683397349,1.1706925316010894,0.6096117180678562,0.6525140120622149,0.3662123042985065,1.7930232842728422,1.4548457559409007,-0.0925657848282805,0.4223573439862578,0.9089941296419368
gao_only,12,12,1.8095072869232227,0.6840888673092956,0.6901448466139121,0.4610292430807547,1.818029439091848,1.4024608611329414,-0.2062423120766321,0.1881245884355617,1.0051274487167932,0.6082712170454043,0.6246522322726216,0.3545053938709835,1.8095072869232227,1.415003929708926,0.0880734337810075,0.5307115068129293,0.8373539732490676
gao_only,12,13,1.7937137588451022,0.6997840387984435,0.6894198788210875,0.4740877765955094,1.7958701949930207,1.4053154390514175,-0.2551171368283925,-0.1364290744264336,1.1123646712017778,0.6132375502236789,0.6288456115752521,0.3657240802444386,1.7937137588451022,1.357073955027,-0.0248379390335307,0.5471606461008316,0.8585096052134281
gao_only,12,14,1.826631132841373,0.7455169166198261,0.7320754162529599,0.5290872299162027,1.6993723361551003,1.3366169551927074,-0.3765421508524184,0.0827090001925507,1.0873677211983706,0.6133851257878681,0.6357404948516927,0.3422306153781792,1.826631132841373,1.4582106428185724,-0.011554894371415,0.8677121967256264,0.7689096863454975
gao_only,12,15,1.8068699655836489,0.5502909386725214,0.5348253954322616,0.2554052337043035,2.136870974222935,1.7712094456340386,-0.4754130387870229,-0.2740998032104054,1.2296085938825,0.6005910701782861,0.6105802190359093,0.3563856141069689,1.8068699655836489,1.458296419525484,-0.1243679487620884,0.3259278016270547,0.9438871914821512
gao_only,12,16,1.756232878260659,0.734425961830093,0.7356757630619202,0.5184961370748002,1.7183759989364331,1.3182020723367127,-0.2954104296410473,-0.1349824991048705,1.1249576928524188,0.6478478728425783,0.6514656672365573,0.3919543982228638,1.756232878260659,1.443849703261875,0.0893515665435566,0.6711849213390741,0.8001620807298697
gao_only,12,17,1.7723450261495153,0.5285744656853366,0.503788936409714,0.2473736659051714,2.148364737148748,1.7679492882583463,-0.3856401642801884,-0.285462884602341,1.2000856150209092,0.6170840826252544,0.6048546434496254,0.3807464763581338,1.7723450261495153,1.4445965314670557,0.0146904533623524,-0.0030272596853852,0.9968740649192231
