pce_bin,n,experimental_min,experimental_max,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
"(0.009000000000000001, 1.216]",22,0.0099999997764825,1.2100000381469729,0.49025763521391974,0.6259548239096071,-17.128638247937623,1.484267167020553,1.224562500977367,1.215961237939311,0.37449596239598737,0.17692038796346596
"(1.216, 2.598]",21,1.2400000095367432,2.569999933242798,0.2738672764074549,0.20721014408864444,-8.313007295994172,1.2751488557251762,1.0335082360304004,0.942162988999861,1.5708801468073903,0.13094214087929767
"(2.598, 4.324]",21,2.640000104904175,4.300000190734863,0.21055567395062774,0.1474504787088473,-4.059970340967493,1.0872816377357502,0.9302490060039843,-0.09191520335587447,3.101533097903791,0.09452472641338991
"(4.324, 6.034]",21,4.340000152587891,6.010000228881836,0.024867549374505152,-0.0552306809250766,-11.378609874898101,1.3842780106617139,1.123109789627557,-0.9308002301962068,5.1492328329641,0.010235497748719012
"(6.034, 9.87]",22,6.039999961853027,9.869999885559082,0.4280016824278434,0.43716466018892536,-4.3500000981767295,2.8301520315817794,2.566103897633367,-2.566103897633367,4.795838215156788,0.5381648022974501
