branch,variability_source,metric,n,mean,sd,p2_5,p25,median,p75,p97_5,min,max
gao_only,training stochasticity on one fixed split,r,101,0.6812451143107774,0.08440629987785898,0.501079960491635,0.6706491793851389,0.7125955516623494,0.7396044293535678,0.7608081454624757,0.4327557414917617,0.7676689684274307
gao_only,training stochasticity on one fixed split,spearman_rho,101,0.683832757484895,0.09017769507538989,0.477352104126777,0.6784963776183914,0.7207355484124932,0.7440667754207623,0.7702782798761998,0.4294699407831213,0.785512400387583
gao_only,training stochasticity on one fixed split,r2,101,0.4441685326063973,0.11462676759915748,0.1919644123708263,0.3923686499839228,0.4848464784740122,0.522343550858335,0.5650586887027282,0.1823998637946211,0.5745651190670427
gao_only,training stochasticity on one fixed split,rmse,101,1.8373330649168698,0.18211177168741027,1.6331784127228326,1.711496964518945,1.7774060200833597,1.930360386262432,2.2260428381445223,1.6152318046977248,2.23917887322301
gao_only,training stochasticity on one fixed split,mae,101,1.4555766798221135,0.1838981703312778,1.2705413243933537,1.3248598759593528,1.3820882468684532,1.5610534917632832,1.8329311355635105,1.2327366979427148,1.8523185393625048
gao_only,training stochasticity on one fixed split,mean_signed_error,101,-0.29340878363426054,0.17629381001559366,-0.6102825317044402,-0.4137794201514709,-0.2828243373605971,-0.200803246053162,0.03220749867505555,-0.8152040225218669,0.1947515329572363
gao_only,training stochasticity on one fixed split,calibration_intercept,101,-0.15470298886685444,0.414059013111377,-1.2550852515856377,-0.2740998032104054,-0.0401227090385981,0.1078578144453772,0.3653992367837293,-1.6691825705637886,0.5642270419846117
gao_only,training stochasticity on one fixed split,calibration_slope,101,1.1323149759374391,0.13078419662248514,0.9864105336800207,1.0553523335274002,1.103586362031951,1.1706925316010894,1.477115052608934,0.9557327744324836,1.7551026372429606
inhouse_r2,training stochasticity on one fixed split,r,101,0.6218867494627159,0.02548744622727734,0.5638655755372701,0.6053393591067737,0.6255218058823168,0.6406263666930337,0.66058243914308,0.5346662768316106,0.668062253986377
inhouse_r2,training stochasticity on one fixed split,spearman_rho,101,0.6019761569486218,0.02767254394723706,0.5355246930680473,0.5855510616162175,0.6095885070066465,0.6196721681513082,0.6444996439732991,0.5197979574122297,0.6535983321123771
inhouse_r2,training stochasticity on one fixed split,r2,101,0.36580167278799725,0.035324933451577806,0.28350390121141317,0.3381979075734028,0.3736603681098412,0.3937422449037062,0.41936416711192837,0.2769532739228462,0.4255759242607706
inhouse_r2,training stochasticity on one fixed split,rmse,101,2.3725353771214177,0.06571973580457804,2.2709964598857724,2.3205648495828664,2.35868531079321,2.424538718821721,2.5227315051426755,2.258818692904596,2.5342428975949622
inhouse_r2,training stochasticity on one fixed split,mae,101,1.8075969551669868,0.05463481838974917,1.7185953747142446,1.770030328443834,1.80931149996244,1.8434894268329327,1.923896505282475,1.6831582442863835,1.9346120474221824
inhouse_r2,training stochasticity on one fixed split,mean_signed_error,101,0.20059899285766863,0.22477949394524638,-0.1909503553297136,0.0677920354829801,0.1544650251215154,0.3930645172412579,0.5979029098590771,-0.3248621700526951,0.6104651631175221
inhouse_r2,training stochasticity on one fixed split,calibration_intercept,101,1.1533224835471696,0.5682624336586137,-0.17830282762690414,0.8164019648665098,1.2386231656511777,1.5377748407772336,2.076976341103076,-0.8515173465127429,2.123447798917332
inhouse_r2,training stochasticity on one fixed split,calibration_slope,101,0.868663945119234,0.057429330029298384,0.7737929886311945,0.832922047753278,0.8609866338165146,0.8952713677373624,1.0052458602518437,0.7571580260139557,1.024136923281202
joint_inhouse_gao,training stochasticity on one fixed split,r,101,0.824544086074275,0.005380952287348461,0.8147810564186593,0.82054621424823,0.824124246056271,0.8282906572752791,0.8346254620426335,0.811389162524967,0.8377153761011381
joint_inhouse_gao,training stochasticity on one fixed split,spearman_rho,101,0.7901076079290826,0.007343640696668038,0.7780541585049059,0.7848689968154607,0.7894721279584255,0.7944992064428296,0.8052125170453155,0.7742557208891024,0.8068117278274024
joint_inhouse_gao,training stochasticity on one fixed split,r2,101,0.6693964678994725,0.010074545671903535,0.6510082502380835,0.663456739023157,0.6691547839482931,0.677458566369709,0.688589116031796,0.6489999043289475,0.6963121074247907
joint_inhouse_gao,training stochasticity on one fixed split,rmse,101,2.3210286805809597,0.03540346860054195,2.252903890202986,2.292817748602615,2.322144326112217,2.3420557471324788,2.3849778289457157,2.22479765371033,2.391830482163997
joint_inhouse_gao,training stochasticity on one fixed split,mae,101,1.6882491213320059,0.03329117493492786,1.6219215520322323,1.6683095210492611,1.6882504264488816,1.7084603129327298,1.750310054808855,1.6005149395167828,1.784917100042105
joint_inhouse_gao,training stochasticity on one fixed split,mean_signed_error,101,0.04848717772658212,0.13534312864237336,-0.18950020930171005,-0.0344826525747776,0.0430366216003894,0.1483513452708721,0.3014440776109695,-0.4044197689592838,0.3332045769393444
joint_inhouse_gao,training stochasticity on one fixed split,calibration_intercept,101,0.7591329556010937,0.17623335530221929,0.3860851969576049,0.6826247272306657,0.7753595193150591,0.8727212979539649,1.049901238353616,0.2383086130513671,1.1019635947536526
joint_inhouse_gao,training stochasticity on one fixed split,calibration_slope,101,0.8995787897062947,0.025503347188179953,0.8662629932375828,0.8832729168248639,0.8945104370782937,0.9107638400230886,0.9614292253661887,0.8335917735094006,0.969116353891764
