top_fraction,k,top_k_hits,top_k_precision,top_k_recall,enrichment_factor,high_pce_threshold,n_high_pce,high_pce_recall_in_predicted_top_k
0.1,15,11,0.7333333333333333,0.7333333333333333,6.991111111111111,16.0,5,0.8
0.2,29,19,0.6551724137931034,0.6551724137931034,3.2306777645659928,16.0,5,1.0
