branch,split_seed,model_seed,best_valid_rmse,test_r,test_spearman_rho,test_r2,test_rmse,test_mae,test_mean_signed_error,test_calibration_intercept,test_calibration_slope,valid_r,valid_spearman_rho,valid_r2,valid_rmse,valid_mae,valid_mean_signed_error,valid_calibration_intercept,valid_calibration_slope
inhouse_r2,12,0,2.568933465329451,0.6051634472646257,0.5855510616162175,0.3161735110642006,2.46455217065607,1.8222968078159785,0.501027112240558,1.5740061280885471,0.8039144596395488,0.619535321875888,0.5776972928764277,0.3486771967458471,2.568933465329451,1.7543389159189144,0.3435386133865571,1.482079344525976,0.8016456322931634
inhouse_r2,12,1,2.5351988346348047,0.6191603815121819,0.5808067749726568,0.3805960711594413,2.345589635261512,1.7960915998979048,0.0673128508187674,0.6553545701576303,0.928791218129644,0.617768986215198,0.578837495933218,0.365670916570197,2.5351988346348047,1.81971072814834,0.1501196035197083,1.2870359689938304,0.8405003811955779
inhouse_r2,12,2,2.5973444654084936,0.6232007154728539,0.610817671236531,0.3758207012086976,2.3546140792331114,1.81946505699958,0.1629761982631016,1.2268061029525823,0.864335178851653,0.5911341175128898,0.5397017027780913,0.3341909840212775,2.5973444654084936,1.8648174480653144,-0.0110311407438466,1.5396693821759204,0.8272578867640132
inhouse_r2,12,3,2.5649805365694247,0.6345356451463912,0.6247427271029686,0.3825040335713215,2.3419742654647,1.776215698335554,0.2806884975700112,1.2039603629541196,0.8567210558071856,0.610700765167684,0.5759702205992306,0.3506800915865278,2.5649805365694247,1.79533640767487,0.0716654079061158,1.6663434039168346,0.8054165803215236
inhouse_r2,12,4,2.566508098140654,0.631458551749749,0.638805268784769,0.3978149688820483,2.3127571587916784,1.7789363961119753,-0.0830047547400414,0.2727788720048421,0.9810192742180198,0.5930425190082923,0.5420324119677068,0.3499064627196694,2.566508098140654,1.879792569388806,-0.0771146626539633,0.5630018668014442,0.9446797263088804
inhouse_r2,12,5,2.6456664693996643,0.6011845708364844,0.5823314311042163,0.3085056816112218,2.478331312908097,1.838977551960445,0.5547787509598099,1.3974567082146223,0.8164508671450671,0.6001744920202837,0.5587162655192711,0.3091865936157572,2.6456664693996643,1.8237594382863649,0.317924140204846,1.998433685790974,0.7476241144087733
inhouse_r2,12,6,2.56027800336988,0.6350555819634887,0.6115153604488193,0.4014385546751574,2.305788271504696,1.752988321797831,0.1211929454670085,-0.3556148297209312,1.0229770148777766,0.6075303122449768,0.54330675656059,0.35305878362536,2.56027800336988,1.8879829007135311,0.1794887512502536,1.2422137503526207,0.842728030547549
inhouse_r2,12,7,2.6005689633489206,0.6022200150218057,0.6061595697309586,0.3427836847451501,2.4161240266295434,1.8345700444041435,0.1946817911588228,1.5713090306520376,0.8281431450674365,0.5946839799244301,0.566580313072722,0.3325368080165777,2.6005689633489206,1.8133632465147635,0.0514299533736537,1.6897073060038328,0.8046236987995012
inhouse_r2,12,8,2.580780573508099,0.5961576390925234,0.5738873396084322,0.3127458688661059,2.4707211651441643,1.8421690313966124,0.5483077756174795,0.8976891850599539,0.8639646350547857,0.607141670801447,0.5703698114673487,0.3426559553540499,2.580780573508099,1.8764889273844971,0.2827177450690471,1.3748901113940442,0.8187019623935644
inhouse_r2,12,9,2.5465484992575043,0.6217885273401804,0.5988646134083555,0.3780397299364084,2.350424891609596,1.843400338312963,0.0677920354829801,1.2129691623131846,0.8738048290770761,0.6163458883311698,0.5797932543778805,0.3599786311615941,2.5465484992575043,1.7907611215618295,-0.0898707282375282,1.6964779302191224,0.8168150605568084
