pce_bin,n,experimental_min,experimental_max,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
"(1.229, 7.924]",29,1.2300000190734863,7.900000095367432,0.29327273063174447,0.06651065452592536,-3.01128741740653,3.5912891648563874,2.857095455301219,2.669438592318831,3.7874017471383774,0.23806496198078678
"(7.924, 9.3]",29,7.960000038146973,9.300000190734863,0.012684872838841413,0.00764017304210659,-11.451062989595176,1.4704541659276613,1.2411072665247425,0.2345305640121986,8.751701183960703,0.00378706918019424
"(9.3, 10.842]",28,9.520000457763672,10.789999961853027,0.15387256262231142,0.09916452126818585,-14.400047588283815,1.5109235470239641,1.2869385821478707,0.0854591812406269,9.66464913709815,0.039002091520235864
"(10.842, 12.674]",28,11.050000190734863,12.619999885559082,0.06959802625102109,0.11804988920874294,-15.491613770859708,1.9433004496032324,1.4670535155705047,-1.152219602039882,11.511002129857284,0.021859465482584963
"(12.674, 16.5]",29,12.710000038146973,16.5,0.6207705804979128,0.6964353119301792,-2.3889063971242765,2.262732642535221,1.8874260803748821,-1.8874260803748821,8.09604453202835,0.49034005498571737
