split_seed,model_seed,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
0,0,0.6619615153873569,0.6296335436692047,0.4125301012803797,2.63185837176481,1.8919230302522232,0.4119451991119585,0.9759844699067666,0.8617906215406709
0,1,0.6553790194268981,0.6439277737546881,0.4217190294501233,2.611194101971407,1.8917559971967777,0.144347883917235,0.8915362460983054,0.8940231619592753
0,2,0.6427074708418214,0.6185486411538756,0.4000469422572252,2.6596735911860048,1.92443655202022,0.3006032291617427,0.7151352397945759,0.8977192188496941
0,3,0.6190863779633816,0.5818547820685157,0.3643953027941498,2.7375575289602394,1.9519534956116775,0.3215669296629779,1.0684804882165655,0.8603226655147171
0,4,0.6363585716933792,0.5969657080446141,0.3964154143867915,2.667710975672297,1.9089492279124427,0.0375761046901449,1.1806211212440023,0.8739950984136784
1,0,0.5092575551047692,0.5401302516986899,0.2169242517145178,2.9015459394417644,2.123567400249184,0.4345979335460257,1.9285362326116653,0.7636192413305809
1,1,0.5368359207747453,0.5654399606403518,0.2707554422310594,2.8000395281637744,2.1184486751015306,0.3298562249393328,1.0297630720678668,0.8625593381212572
1,2,0.5190314619725981,0.5308574456148537,0.2505050042695541,2.838650552464006,2.1228237422645515,0.269999050924964,1.4499101498074791,0.8250800850786766
1,3,0.5815328358984149,0.6147729158144453,0.3168891579504752,2.710024100525007,2.045782266779149,0.054621897690685,1.864344746612273,0.8004646242150063
1,4,0.5580345916520105,0.6037812585567124,0.2871410502034591,2.7684033568595563,2.037765394711325,0.3102316653474848,1.481554118788082,0.8185126272754413
2,0,0.6321533063341854,0.5856713237666112,0.36213123944361,2.535831027092526,2.038612403837191,-0.5539052040398527,1.655691206414319,0.8827332158463618
2,1,0.6914873521898975,0.6586294704019078,0.4422856540266857,2.3711583216376515,1.8430584109559351,-0.5774054462406911,1.2433545888830726,0.9289430681298751
2,2,0.6638808621831457,0.6483909235953388,0.4303344421833787,2.396429328632185,1.838683494905225,-0.2101254690261114,1.2295401662290766,0.8953301034280848
2,3,0.7016101184978099,0.6745785572446867,0.452372569972618,2.349617896154375,1.826516123856006,-0.5875003856866539,1.493162149744738,0.9032614742214232
2,4,0.6649598968590277,0.6376234481714563,0.3647006663786779,2.5307185277262327,2.025654813870281,-0.8586959628020825,1.677162924688688,0.9099671559260888
3,0,0.4756647484147516,0.4322008058332047,0.1105726876494532,2.698460021165128,2.1793679737708938,-0.912313486488772,2.6710061413293302,0.8006847300455355
3,1,0.4166593167456444,0.3870415097585539,0.0794861500290945,2.745212204874482,2.146033567442021,-0.2237468655680267,4.17971752781668,0.5841178258948759
3,2,0.4600368498526302,0.4817211625200115,0.1530179361576874,2.6332849935394784,1.9915083512453968,-0.1423971132493355,3.4037493970824326,0.6600487735593826
3,3,0.4593044736191343,0.4340093571586687,0.1428156383905112,2.6490970988335367,1.9547731154401535,-0.0449457521169958,3.5527961814217788,0.6380315873910143
3,4,0.4360662303586827,0.4674476479455789,0.1009950926763183,2.712949992991744,2.0111567050638333,-0.1457244728652524,4.0094711930085145,0.5971176867415894
