metric,n,mean,sd,p2_5,p25,median,p75,p97_5,min,max
r,10,0.600027184953812,0.10848822642778572,0.4003359440476166,0.5611535534538004,0.6283227126418601,0.6850182107425504,0.7094508909164207,0.3818326905384432,0.7117464203757964
spearman_rho,10,0.5743908622492653,0.11671537758270202,0.3624502966541599,0.5157476045715395,0.6107125351443161,0.6645159988285138,0.6889413157054316,0.3368856322335344,0.6897557903395029
r2,10,0.33484638932412636,0.15525897903051564,0.0369019179841062,0.29238311324205846,0.3780726035079293,0.44386829312360343,0.49222725779828824,0.0002025870420074849,0.4999706485306935
rmse,10,2.5424667006503814,0.2623596190023451,2.2739127134886017,2.3575382416065924,2.5256177765097347,2.613766260987454,3.0451958254643565,2.2722940787734736,3.1297277971675936
mae,10,1.912906826236036,0.1690411935567426,1.7117017140777504,1.791836090391124,1.8799958410970614,1.9910487378522497,2.2249804824947845,1.6965579029740085,2.2812982856010904
mean_signed_error,10,-0.08209848208524859,0.3414212153195647,-0.522766791996194,-0.28040143369183396,-0.21445716269001777,0.1984018708702983,0.4624010833032846,-0.5575264935590781,0.5153964884427128
calibration_intercept,10,1.7404543486113648,1.1622956538900775,0.5689338854243554,0.8873384157145178,1.3432875625364287,2.34622771871232,3.8298447657377443,0.5049907945438692,4.020143433849174
calibration_slope,10,0.8252070102044187,0.13507337311561116,0.5639385662356373,0.7696537011809073,0.8680640517816187,0.9188913344234759,0.9596846144794321,0.5259095997148934,0.9649525089735764
