branch,variability_source,metric,n,mean,sd,p2_5,p25,median,p75,p97_5,min,max
gao_only,training stochasticity on one fixed split,r,101,0.6564618513174431,0.09949353436856673,0.45377643272550827,0.5725198362429912,0.7081860905453978,0.7376706736985603,0.7612573898888646,0.3928850237336465,0.7663748767729034
gao_only,training stochasticity on one fixed split,spearman_rho,101,0.6582447117514783,0.10373460866742006,0.4660881619673154,0.5721024555903403,0.7097630628994712,0.74283726923158,0.7712947043154641,0.4157200448746158,0.7823529123715565
gao_only,training stochasticity on one fixed split,r2,101,0.4111049583052689,0.1303618266257794,0.18282780353078285,0.2713333807831958,0.4740437874130579,0.5224839422611871,0.5547259863119626,0.1029945618709013,0.5763865767325097
gao_only,training stochasticity on one fixed split,rmse,101,1.8892334093818453,0.2064220542330242,1.6524633947301754,1.7112454269144448,1.7959452999309584,2.1138917685377026,2.238488351062035,1.61177036759396,2.345394207924664
gao_only,training stochasticity on one fixed split,mae,101,1.5158370770837177,0.2055096030872809,1.2854224631615052,1.3379860923355706,1.4087826507775305,1.7486987505108118,1.8493637092864124,1.2745301042309152,1.9257962838616047
gao_only,training stochasticity on one fixed split,mean_signed_error,101,-0.2944322101239425,0.19550079575687854,-0.6786553369852427,-0.4113270490839381,-0.2850183949187815,-0.1627441091967799,0.07883639241977825,-0.719361409840879,0.1983105118134032
gao_only,training stochasticity on one fixed split,calibration_intercept,101,-0.22900044165424174,0.4808134567281085,-1.3557110938963983,-0.4540650475049327,-0.1209991681174237,0.0687795495318605,0.4507150945019388,-1.6315591570814356,0.8707913024444769
gao_only,training stochasticity on one fixed split,calibration_slope,101,1.1534865411213755,0.13845920375148238,0.9614025287300777,1.066422053090764,1.1231250701422488,1.2127442418116638,1.5164634311656053,0.8738966892260809,1.5951113687415863
inhouse_r2,training stochasticity on one fixed split,r,101,0.6215045650148726,0.031040010715726638,0.536735498311568,0.609288445032912,0.6264141548197735,0.6421973888933632,0.660658854123074,0.521576308213741,0.6711424109806201
inhouse_r2,training stochasticity on one fixed split,spearman_rho,101,0.6013351243723134,0.030142398208433712,0.5210866304278682,0.5918918253396619,0.6051356082105708,0.6193458958432086,0.6418535550343407,0.4844558947556344,0.6497076887403221
inhouse_r2,training stochasticity on one fixed split,r2,101,0.36849673965263646,0.039921186771117015,0.2691935652829691,0.3471010380037088,0.3748768969713942,0.3939441880044312,0.4285366518880386,0.2566856940907963,0.4406002953752157
inhouse_r2,training stochasticity on one fixed split,rmse,101,2.367241225151069,0.07406129695235951,2.2529896093727393,2.3201783299153167,2.356393580184543,2.408175008680849,2.5477898078011023,2.2290826542362434,2.5695158544156462
inhouse_r2,training stochasticity on one fixed split,mae,101,1.8104234383656428,0.06379564744782797,1.6899045564077952,1.7757401599750653,1.803211657317368,1.835680112972126,1.9620510673189497,1.6449600483154083,2.018863421220046
inhouse_r2,training stochasticity on one fixed split,mean_signed_error,101,0.10332791196798954,0.25025867877173386,-0.30580067551219375,-0.1013197432031164,0.0930952558984289,0.2759062777032385,0.5745445164767178,-0.3913893732991252,0.8564017836030546
inhouse_r2,training stochasticity on one fixed split,calibration_intercept,101,1.1182107269549655,0.7648413899231645,-0.3090326355559434,0.8582484074600585,1.2412865592484228,1.576326340456926,2.0952927605406484,-3.7285917359913063,2.648756195292737
inhouse_r2,training stochasticity on one fixed split,calibration_slope,101,0.8804737412069916,0.07808471087344518,0.7920943221361809,0.838436640912185,0.8623090079414995,0.909748574995308,1.01794193763013,0.7363984785761274,1.4118504575723645
joint_inhouse_gao,training stochasticity on one fixed split,r,101,0.8253407390692825,0.006336840755545515,0.8148440952025401,0.820563549689466,0.8249941426099433,0.8293505021272248,0.8388875575207979,0.8078894166399032,0.8413941991952463
joint_inhouse_gao,training stochasticity on one fixed split,spearman_rho,101,0.7917069460809136,0.008522791862554772,0.7780654868079606,0.7842246275772947,0.7910650025710073,0.797639642455774,0.8073842871445093,0.7704355866928722,0.8098995544329399
joint_inhouse_gao,training stochasticity on one fixed split,r2,101,0.6703630948947683,0.011224524742835182,0.6531932651081896,0.6633314030067731,0.6704020252089279,0.6781190321202069,0.6895766574534375,0.6320088736672147,0.7008144790744739
joint_inhouse_gao,training stochasticity on one fixed split,rmse,101,2.31756796492859,0.039426710722574976,2.249333869177744,2.2904690525108298,2.3177631096507394,2.342491822737138,2.3774987328981894,2.2082440297996304,2.44903759551473
joint_inhouse_gao,training stochasticity on one fixed split,mae,101,1.6980450352443623,0.041282067278274555,1.6222928402125834,1.673872793585062,1.6927568601667882,1.724413345903158,1.7752269589602947,1.574517868965864,1.8367260261774063
joint_inhouse_gao,training stochasticity on one fixed split,mean_signed_error,101,0.03189945305146202,0.1560976663672217,-0.34409765449166296,-0.0549500414431095,0.0312394245564937,0.1342926992475986,0.31669204868376255,-0.3826326522529125,0.47979117795825
joint_inhouse_gao,training stochasticity on one fixed split,calibration_intercept,101,0.765227151994429,0.22520561069678985,0.30655696272011745,0.6826718467010615,0.8039488624501088,0.8949690654986194,1.0800431647325688,-0.3581622254463701,1.1275830680916878
joint_inhouse_gao,training stochasticity on one fixed split,calibration_slope,101,0.900699362486128,0.030143659244896228,0.8565366261696498,0.8824753448324754,0.8920050747630848,0.9133609522878404,0.9563117170811818,0.8438846089979934,1.0365800157688887
