split_seed,n_model_seeds,n_test,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
0,5,104,0.6774682457126976,0.6898365483983441,0.44151018869681125,1.870643121341719,1.429380138562276,-0.3140057804636085,0.083837346068625,1.065139043646003
1,5,105,0.6453980657990803,0.6300792568824934,0.41130669559533695,1.8897825793191203,1.5179809709008607,-0.1495312306808219,-0.09227157431185913,1.064878965475421
2,5,108,0.6342085906818191,0.6473980178942126,0.3851954311630753,1.838344721888284,1.4654332532038636,-0.2741144750741552,0.5579285326112152,0.9163041030079132
3,5,107,0.671684179886339,0.6932287699536591,0.43894728046590814,1.8613113729012736,1.461299184144031,-0.20954253892370744,-0.23496192106772243,1.1189924171716918
4,5,107,0.6718718396351561,0.6906946329274238,0.4466733491860295,1.809881102063889,1.4473128970616682,-0.11572019206359982,-0.16371248279115933,1.0799912813064536
5,5,106,0.5948071216670605,0.6128195245348285,0.3531688446068497,1.8503691829885105,1.4623537831157798,-0.03516657897798386,0.14447107345836147,0.9677447889448223
6,5,108,0.5003238218924614,0.486235494755998,0.15732715838650324,2.049952464678796,1.6031363490382555,-0.2563878517080512,1.6405530802018387,0.6391140091421433
7,5,104,0.6016593050556971,0.6253594157682455,0.32739269907934543,2.227020559517882,1.692741942628681,-0.478070636443758,0.09611909020164879,1.1108701453213345
8,5,107,0.6716898928407445,0.6708409361059862,0.4423357287501404,1.7231484733964053,1.3568850730067106,0.08193061474327733,0.3517849546960005,0.8853161701213285
9,5,104,0.65418883018249,0.6341274752836165,0.417548513906414,1.9573364540205118,1.5201819606814893,-0.26167716210833397,0.2508133195008159,1.0031721067307782
