metric,n,mean,sd,p2_5,p25,median,p75,p97_5,min,max
r,10,0.6323299893353546,0.05489927325531173,0.5215825643417462,0.6097966264622277,0.6497934479907852,0.6716884646021432,0.6762090543452508,0.5003238218924614,0.6774682457126976
spearman_rho,10,0.6380620072504808,0.061087206226482955,0.5147169014562348,0.6265393760468074,0.6407627465889145,0.6850876453252546,0.6926585891227561,0.486235494755998,0.6932287699536591
r2,10,0.38214058898364134,0.0888389107311873,0.19559190504239274,0.3611754912459061,0.4144276047508755,0.44086946163908547,0.4456973845879545,0.15732715838650324,0.4466733491860295
rmse,10,1.9077790032116393,0.1415140469984152,1.742663314846589,1.8413508371633407,1.8659772471214962,1.940447985345164,2.1871802381790877,1.7231484733964053,2.227020559517882
mae,10,1.4956705552343614,0.09468343608772813,1.3731964627567128,1.4508094688322588,1.4638935181598218,1.5196317132363322,1.6725806840708353,1.3568850730067106,1.692741942628681
mean_signed_error,10,-0.20122858317007425,0.15605493733285175,-0.4411560438482244,-0.2710051468326999,-0.2329651953158793,-0.12417295171790535,0.0555837461559936,-0.478070636443758,0.08193061474327733
calibration_intercept,10,0.26345614185677646,0.5398487073238467,-0.21893079745549573,-0.048244344216738094,0.12029508183000512,0.32654204589720437,1.3969625569939488,-0.23496192106772243,1.6405530802018387
calibration_slope,10,0.985152303086789,0.1455046264986969,0.69450949536246,0.9291642744921405,1.0340255361030994,1.076278221891341,1.1171649060053614,0.6391140091421433,1.1189924171716918
