Donor,SMILES
D_21,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCCCC)N=C32)=C(F)C(F)=C3C4=CC=C(S4)C5=CC(C(C6=CC(CCCCCCCC)=C(S6)Cl)=C7SC(C)=CC7=C8C9=CC(CCCCCCCC)=C(S9)Cl)=C8S5
D_22,O=C(C1=C(SC(CCCCCCCC)=C12)CCCCCCCC)C3=C(SC(C4=CC=C(C)S4)=C3C2=O)C(S5)=CC=C5C6=CC7C(C8=CC(F)=C(CCCCCCCC)C8)C9C(C=C(S9)C)C(C%10=CC(F)=C(S%10)CCCCCCCC)=C7S6
D_23,CC1=CC(C(S1)=C(C2=C3SC(C(S4)=CC=C4C5=C6C(C(C7=C(SC(CCCCCCCC)=C7C6=O)CCCCCCCC)=O)=C(S5)C8=CC=C(C)S8)=C2)C9=CC=C(S9)CC)=C3C%10=CC=C(S%10)CC
D_24,FC1=C(C(S2)=CC=C2C3=C(CCCCCCCCCCCCCCCC)C=C(C)S3)C4=NSN=C4C(C5=CC=C(S5)C6=C(CCCCCCCCCCCCCCCC)C=C(C7=C(C([H])=C(C8=C7C(N(C8=O)CCCCCCCCCCCCCCCC)=O)C)[H])S6)=C1F
D_25,CC1=CC(C(S1)=C(C2=C3SC(C4=CC=C(C(C5=NN(CC(CCCCCC)CCCC)N=C65)=CC(C7=NN(CC(CCCCCC)CCCC)N=C87)=C6C=C8C9=CC=C(C)S9)S4)=C2)C%10=CC([H])=C(SCC(CCCC)CCCCCC)S%10)=C3C%11=CC([H])=C(S%11)SCC(CCCCCC)CCCC
D_26,FC1=C(C2=CC=C(C3=CC4=C(C(C(C=C5F)=CC(F)=C5CC(CCCC)CC)=C6C=C(OC6=C4C(C=C7F)=CC(F)=C7CC(CC)CCCC)C)O3)S2)C8=NN(CC(CCCCCCCC)CCCCCC)N=C8C(C9=CC=C(C)S9)=C1F
D_27,[H]C(C=C1C(C2=C3SC(C4=C(F)C=C(C5=C(C(C6=C(SC(CCCCCCCC)=C6C7=O)CCCCCCCC)=O)C7=C(C8=CC(F)=CS8)S5)S4)=C2)=C9SC(C)=CC9=C3C%10=CC([H])=C(S%10)CCCCCCCC)=C(S1)CCCCCCCC
D_28,CC(S1)=CC=C1C2=C3C(C(C4=C(SC(CC(CC)CCCC)=C4C3=O)CC(CCCC)CC)=O)=C(S2)C(S5)=CC=C5C6=CC7=C(C8=CC(Cl)=C(CCCCCBr)C8)C9=C(C=C(S9)C)C(C%10=CC(Cl)=C(CCCCCBr)C%10)=C7S6
D_29,FC1=C(C2=CC=C(C3=CC4=C(C5=CC=C(CC(CCCC)CC)S5)C(SC(C)=C6)=C6C(C7=CC=C(CC(CCCC)CC)S7)=C4S3)S2)C8=NN(CC(CCCCCC)CCCCCCCC)N=C8C(C9=CC=C(C%10=CC(C(C%11=CC=C(CC(CCCC)CC)S%11)=C(S%12)C(C=C%12C)=C%13C%14SC(CC(CCCC)CC)=CC%14)=C%13S%10)S9)=C1F
D_30,FC(C(F)=C(C1=N2)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=CC([S]CCCCCCCC)=C7)=C5S4)C=C(C)S6)C8=CC=CC([S]CCCCCCCC)=C8)=C(C9=CC=C(C)S9)C1=NN2CCCCCCCCCCCCCCCC
D_31,CC1=CC=C(S1)C2=C(C(C(C=C(C(SCC(CCCC)CC)=C3)SCC(CCCC)CC)=C3C4=O)=O)C4=C(C5=CC=C(S5)C6=CC7=C(C8=C(C(C9=CC(F)=C(S9)CC(CCCC)CC)=C7S6)C=C(C)S8)C%10=CC(F)=C(S%10)CC(CCCC)CC)S2
D_32,CC1=CC=C(S1)C2=C(C(F)=C(C3=NC(C4=CC(F)=C(S4)CC(CC)CC)=C(N=C23)C5=CC(F)=C(S5)CC(CC)CC)C6=CC=C(S6)C7=CC8=C(C9=C(C(C%10=CC=C(S%10)CC(CC)CC)=C8S7)C=C(C)S9)C%11=CC=C(S%11)CC(CC)CC)F
D_33,CC(SC1=C(C2=C3SC(C4=CC=C(S4)C5=C(C(F)=C(C(N=C6C7=CC=CC(OCCCCCCCC)=C7)=C5N=C6C8=CC=CC(OCCCCCCCC)=C8)C9=CC=C(C)S9)F)=C2)C%10=CC(F)=C(S%10)SC)=CC1=C3C(S%11)=CC(F)=C%11SC
D_34,CC1=CC(C(C2=CC=C(S2)CC(CCCC)CC)=C3S4)=C(S1)C(C5=CC=C(S5)CC(CC)CCCC)=C3C=C4C6=CC(NC(OCC(CCCCCCCC)CCCCCCCCCC)=O)=C(C(S7)=NC(S8)=C7N=C8C(SC(C)=C9)=C9NC(OCC(CCCCCCCCCC)CCCCCCCC)=O)S6
D_35,CC1=CC(C(C2=CC=C(SCC(CCCCCC)CCCC)S2)=C3SC(C4=C(CCCCCCCC)C=C(C5=NN=C(S5)C6=CC(CCCCCCCC)=C(S6)C)S4)=CC3=C7C8=CC=C(SCC(CCCC)CCCCCC)S8)=C7S1
D_36,CC(S1)=CC=C1C2=C3C(C(C4=C(SC(CC(CC)CCCC)=C4C3=O)CC(CCCC)CC)=O)=C(S2)C(S5)=CC=C5C6=CC7=C(C8=CC(Cl)=C(CCCCCOC)C8)C9=C(C=C(S9)C)C(C%10=CC(Cl)=C(CCCCCOC)C%10)=C7S6
D_37,FC1=C(C(S2)=CC=C2C3=C(CCCCCCCCCCCCCCCC)C=C(C)S3)C4=NSN=C4C(C5=CC=C(S5)C6=C(CCCCCCCCCCCCCCCC)C=C(C7=C(C([F])=C(C8=C7C(N(C8=O)CCCCCCCCCCCCCCCC)=O)C)[F])S6)=C1F
D_38,O=C(C1=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C12)C3=C(C4=CC=CS4)SC(C(S5)=CC=C5C6=CC7=C(C8=CC=C(CC(CCCC)CCCCCC)C=C8)C(SC=C9)=C9C(C%10=CC=C(CC(CCCCCC)CCCC)C=C%10)=C7S6)=C3C2=O
D_39,CC(S1)=CC=C1C2=C3C(C(C4=C(SC(CC(CC)CCCC)=C4C3=O)CC(CCCC)CC)=O)=C(S2)C(S5)=CC=C5C6=CC7=C(C8=CC(Cl)=C(CCCCCCI)C8)C9=C(C=C(S9)C)C(C%10=CC(Cl)=C(CCCCCCI)C%10)=C7S6
D_40,CC(S1)=CC=C1C2=C3C(C(C4=C(SC(CC(CC)CCCC)=C4C3=O)CC(CCCC)CC)=O)=C(S2)C(S5)=CC=C5C6=CC7=C(C8=CC(Cl)=C(CCCCCCOC(C)=O)C8)C9=C(C=C(S9)C)C(C%10=CC(Cl)=C(CCCCCCOC(C)=O)C%10)=C7S6
D_41,CC1=CC2=C(S1)C(C3=CC=C([Si](CCC)(CCC)CCC)S3)=C4C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(S7)C)C8=NN(CC(CCCCCCCC)CCCCCC)N=C68)S5)SC4=C2C9=CC=C([Si](CCC)(CCC)CCC)S9
D_42,FC(C(F)=C(C1=NN(N=C21)CCC(CCCC)CCCCCC)C3=CC=C(S3)C)=C2C(S4)=CC=C4C5=CC(C(CCCC(CCCCCC)CCCC)=C6SC(C)=CC6=C7CCCC(CCCC)CCCCCC)=C7S5
D_43,CC1=CC2=C(C3=C(C(C4=CC=C(S4)C)=C2S1)C=C(C5=CC6=C(S5)C7=C(C=C(S7)C)C8=NN(C)N=C68)S3)C9=CC=C(S9)C
D_44,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C4=CC=C(C(S5)=CC(C5=C6C7=CC=C(SCC(CCCC)CCCCCC)S7)=C(C8=CC=C(SCC(CCCC)CCCCCC)S8)C9=C6C=C(C)S9)S4
D_45,CC(S1)=CC=C1C2=C3C(C(C4=C(SC(CC(CC)CCCC)=C4C3=O)CC(CCCC)CC)=O)=C(S2)C(S5)=CC=C5C6=CC7=C(C8=CC(Cl)=C(CCCCCC9=CC=C(CCCCCC)S9)C8)C%10=C(C=C(S%10)C)C(C%11=CC(Cl)=C(CCCCCC%12=CC=C(CCCCCC)S%12)C%11)=C7S6
D_46,CC(S1)=C(CCCCCCCC)C=C1C(O2)=NN=C2C3=CC(CCCCCCCC)=C(C4=CC5=C(C6=C(C(C7=CC=C(S7)CC(CCCCCC)CCCCCCCC)=C5S4)C=C(C)S6)C8=CC=C(S8)CC(CCCCCCCC)CCCCCC)S3
D_47,FC(C(OCC(CCCCCC)CCCCCCCC)=C(C1=NSN=C21)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(S7)CC(CCCC)CC)=C5S4)C=C(C)S6)C8=CC=C(S8)CC(CC)CCCC)=C2C9=CC=C(C)S9
D_48,FC(C(F)=C(C1=CC=C(S1)C2=CC(C(C3=CC(Cl)=C(CC(CC)CCCC)S3)=C(SC=C4)C4=C5C6=CC(Cl)=C(CC(CCCC)CC)S6)=C5C2)C7=NN(CC(CCCCCCCC)CCCCCC)N=C78)=C8C9=CC=CS9
D_49,ClC1=C(C2=CC(C(C3=CC=C(C=C3)CC(CCCCCC)CCCC)=C4SC(C)=CC4=C5C6=CC=C(C=C6)CC(CCCC)CCCCCC)=C5S2)SC(C7=C8C(C(C9=C(SC(CC(CCCC)CC)=C9C8=O)CC(CCCC)CC)=O)=C(S7)C%10=CC(Cl)=C(C)S%10)=C1
D_50,OC1=C(C(C2=C(SC(C3=CC=C(C)S3)=C2C4=O)C5=CC=C(S5)C6=CC7=C(C8=C(C(C9=CC=C(C(SC%10=CC=C(C=C%10)CCCCCC)=C9[H])[H])=C7S6)C=C(C)S8)C%11=CC=C(C(SC%12=CC=C(C=C%12)CCCCCC)=C%11[H])[H])=O)C4=C(O)S1
D_51,CC1=CC(C(S1)=C(C2=C3SC(C(S4)=CC=C4C5=C6C(C(C7=C(SC(CC(CC)CCCCC)=C7C6=O)CC(CC)CCCCC)=O)=C(C8=CC=C(C)S8)S5)=C2)C9=CC(C=C(C=C%10)B=O)=C%10S9)=C3C%11=CC(C=C(C=C%12)B=O)=C%12S%11
D_52,FC1=C(C2=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C)S2)C3=NSN=C3C(C4=CC=C(C)S4)=C1
D_53,FC(C(F)=C(C1=N2)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(Cl)=C(S7)CC(CCCC)CC)=C5S4)C=C(C)S6)C8=CC(Cl)=C(S8)CC(CCCC)CC)=C(C9=CC=C(C)S9)C1=NN2CCC(CCCCCCCCCC)CCCCCCCC
D_54,FC(C(F)=C(C1=N2)C3=CC=C(S3)C4=CC5=C(C6=C(C(C(C=C7)=CC=C7C(C=C8)=CC=C8[S]CC(CCCCCC)CCCCCCCC)=C5S4)C=C(C)S6)C9=CC=C(C=C9)C%10=CC=C(C=C%10)[S]CC(CCCCCC)CCCCCCCC)=C(C%11=CC=C(C)S%11)C1=NN2CCC(CCCCCC)CCCCCCCC
D_55,FC(C=C(C1=C2C(C=C(S2)CSC3=C(CCCCCC)C(SC(C4=CC=C(/C(C(N5CC(CCCCCC)CCCCCCCC)=O)=C6C(N(CC(CCCCCC)CCCCCCCC)C7=C\6C=CC(C8=CC9=C(C(CCCCCC)=C(C)S9)S8)=C7)=O)C5=C4)=C%10)=C%10S3)=C(C%11=CC(F)=C(SCC(CC)CC)S%11)C%12=C1C=C(C)S%12)S%13)=C%13SCC(CCCC)CC
D_56,CC1=C(F)C=C(S1)C2=C3C=C(SC3=C(C4=C2SC(C5=CC=C(S5)C6=C(C(F)=C(C(N=C7C8=CC=CC(OCCCCCCCC)=C8)=C6N=C7C9=CC=CC(OCCCCCCCC)=C9)C%10=CC=C(C)S%10)F)=C4)C%11=CC(F)=C(S%11)C)C
D_57,c1(c2c3c(c(c4c2cc(s4)c2ccc(s2)c2sc(c4c2C(=O)c2c(C4=O)c(sc2C[C@H](CCCC)CC)C[C@@H](CCCC)CC)c2cccs2)c2ccc(s2)[Si](CCC)(CCC)CCC)ccs3)ccc(s1)[Si](CCC)(CCC)CCC
D_58,CC(SC(C1=CC(C(S1)=C(C2C=C(C)SC23)C4=CC=C(S4)CC(CC)CCCC)=C3C5=CC=C(S5)CC(CCCC)CC)=C6S7)=C6C(F)=C7C(OCC(CC)CCCC)=O
D_59,O=C(OCC(CCCC)CC)C(C=C(C)S1)=C1C2=CC=C(S2)C3=C(C(OCC(CCCC)CC)=O)C=C(C4=CC(C(C5=CC=C(S5)SCCCCCCCC)=C6SC(C)=CC6=C7C8=CC=C(S8)SCCCCCCCC)=C7S4)S3
D_60,S=C(N1CCCCCC)S/C(C1=O)=C\C(S2)=CC=C2C3=C(CCCCCC)C=C(S3)C(SC(C4=CC5=C(C(C6=CC(CC(CC)CCCC)=C(CCCCCC)S6)=C7C=C(SC7=C5C8=CC(CCCCCC)=C(CC(CCCC)CC)S8)C9=CC(CCCCCC)=C(C%10=CC(CCCCCC)=C(C%11=CC=C(/C=C(C%12=O)\SC(N%12CCCCCC)=S)S%11)S%10)S9)C4)=C%13)=C%13CCCCCC
D_61,CC1=CC(C(C2=CC=C(S2)[Si](CCC)(CCC)CCC)=C3SC(C4=CC=C(S4)C5=C(C(Cl)=C(C6=NN(N=C56)CC(C)C)C7=CC=C(S7)C)Cl)=CC3=C8C9=CC=C(S9)[Si](CCC)(CCC)CCC)=C8S1
