Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,PCE(%),JSC(mA/cm2 ),FF,Voc
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,O-IDTBR,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,9.18,14.4,0.625,1.0
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,O-IDTBR,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,8.37,13.6,0.613,1.0
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,ITIC-Th,O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C(C5=CC=C(CCCCCC)S5)(C6=C7C=C8C(C9=CC=C(S9)CCCCCC)(C%10=CC=C(S%10)CCCCCC)C%11=C(SC%12=C%11SC(/C=C%13C(C%14=CC=CC=C%14C\%13=C(C#N)\C#N)=O)=C%12)C8=C6)C(S%15)=CC=C%15CCCCCC)=C7S4)S3,8.25,14.59,0.695,0.8
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,IEICO-4F,FC1=CC2=C(C(/C(C2=O)=C/C3=CC(OCC(CC)CCCC)=C(S3)C4=CC5=C(S4)C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C=C(S%10)C%11=C(OCC(CC)CCCC)C=C(S%11)/C=C(/C(C%12=C%13C=C(F)C(F)=C%12)=C(C#N)\C#N)C%13=O)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N)C=C1F,9.79,21.92,0.605,0.73
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,F5IC,N#C/C(C#N)=C1C2=CC(F)=C(F)C=C2C(C\1=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C(C=C5C6=C7C=C(/C=C8/C(C(C(C8=O)=C9)=CC(F)=C9F)=C(C#N)/C#N)S6)=C%10C=C5C7(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)=C%10S3)=O,5.61,13.43,0.621,0.641
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,AOIC,O=C1C(/C(C2=CC(F)=C(C=C21)F)=C(C#N)\C#N)=C\C3=CC4=C(S3)C5=C(C6=C(C7=C(C8=C(C=C9C%10=C(C(C%11=CC=C(C=C%11)CCCCCC)(C9=C8)C%12=CC=C(C=C%12)CCCCCC)C=C(/C=C%13/C(C%14=CC(F)=C(F)C=C%14C%13=O)=C(C#N)/C#N)S%10)C7(C%15=CC=C(C=C%15)CCCCCC)C%16=CC=C(C=C%16)CCCCCC)S6)C5(C%17=CC=C(C=C%17)CCCCCC)C%18=CC=C(C=C%18)CCCCCC)S4,13.7,24.32,0.743,0.742
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,IUIC2,O=C1C(/C(C2=CC(F)=C(F)C=C21)=C(C#N)\C#N)=C\C3=CC4=C(C5=C(S4)C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C9=C(S6)C%10=CC%11=C(C=C%10C9(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C(S%14)=C(C%11(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16)C%17=C%14C%18=C(C%19=C(S%18)C=C(/C=C%20/C(C(C(C%20=O)=C%21)=CC(F)=C%21F)=C(C#N)/C#N)S%19)C%17(C%22=CC=C(CCCCCC)C=C%22)C%23=CC=C(CCCCCC)C=C%23)S3,4.48,10.77,0.515,0.758
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,EH-IDTBR,C1(=S)N(C(=O)/C(=C/c2c3c(c(cc2)c2sc4c(c2)[C@](c2c4cc4c(c2)c2c([C@]4(C[C@H](CC)CCCC)C[C@@H](CC)CCCC)cc(s2)c2ccc(c4c2nsn4)/C=C/2\SC(=S)N(C2=O)CC)(C[C@@H](CCCC)CC)C[C@H](CCCC)CC)nsn3)/S1)CC,10.07,15.25,0.62,1.02
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,T2-ORH,O=C(/C(SC1=S)=C/C2=CC=C(S2)C3=CC=C(S3)/C=C4SC(N(C\4=O)CCCCCCCC)=S)N1CCCCCCCC,9.39,14.43,0.58,1.06
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,O-IDTBR,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,9.74,14.25,0.664,1.03
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,4.52,11.61,0.51,0.76
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,DTC-T-F,O=C(C1=CSC=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC=C3C(C=C4)=CC5=C4C(C=CC(C6=CC=C(S6)/C=C7C(C8=CSC=C8C\7=C(C#N)\C#N)=O)=C9)=C9C(CCCCCCCC)5CCCCCCCC,8.8,17.46,0.646,0.78
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,DTC-F-F,O=C(C1=CSC=C1C/2=C(C#N)\C#N)C2=C/C(O3)=CC=C3C(C=C4)=CC5=C4C(C=CC(C6=CC=C(O6)/C=C7C(C8=CSC=C8C\7=C(C#N)\C#N)=O)=C9)=C9C(CCCCCCCC)5CCCCCCCC,7.53,16.01,0.56,0.84
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,DTC-F-C,O=C(C1=CSC=C1C/2=C(C#N)\C#N)C2=C/C(O3)=CC=C3C(C=C4)=CC5=C4C(C=CC(C6=CC=C(O6)/C=C7C(C8=CSC=C8C\7=C(C#N)\C#N)=O)=C9)=C9N5C(CCCCCCCC)CCCCCCCC,2.7,8.94,0.408,0.74
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,IEICO-4F,FC1=CC2=C(C(/C(C2=O)=C/C3=CC(OCC(CC)CCCC)=C(S3)C4=CC5=C(S4)C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C=C(S%10)C%11=C(OCC(CC)CCCC)C=C(S%11)/C=C(/C(C%12=C%13C=C(F)C(F)=C%12)=C(C#N)\C#N)C%13=O)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N)C=C1F,10.9,24.4,0.64,0.7
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,IEICO-4F,FC1=CC2=C(C(/C(C2=O)=C/C3=CC(OCC(CC)CCCC)=C(S3)C4=CC5=C(S4)C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C=C(S%10)C%11=C(OCC(CC)CCCC)C=C(S%11)/C=C(/C(C%12=C%13C=C(F)C(F)=C%12)=C(C#N)\C#N)C%13=O)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N)C=C1F,10.75,22.15,0.62,0.71
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,BDTI,CCC(CC)(O1)C2=CC(C3=C(OC4(CC)CC)C=C(C5=C6C=C(C(OCCCCCCCC)=O)SC6=C(/C=C7/C(C(C=CC=C8)=C8C7=O)=C(C#N)/C#N)S5)S3)=C4C=C2C(S9)=C1C=C9C(SC(/C=C%10C(C%11=C(C/%10=C(C#N)\C#N)C=CC=C%11)=O)=C%12S%13)=C%12C=C%13C(OCCCCCCCC)=O,8.54,19.09,0.621,0.72
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,BDTI-2F,CCC(CC)(O1)C2=CC(C3=C(OC4(CC)CC)C=C(C5=C6C=C(C(OCCCCCCCC)=O)SC6=C(/C=C7/C(C(C=C(F)C=C8)=C8C7=O)=C(C#N)/C#N)S5)S3)=C4C=C2C(S9)=C1C=C9C(SC(/C=C%10C(C%11=C(C/%10=C(C#N)\C#N)C=C(F)C=C%11)=O)=C%12S%13)=C%12C=C%13C(OCCCCCCCC)=O,9.11,21.7,0.656,0.64
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,BDTI-4F,CCC(CC)(O1)C2=CC(C3=C(OC4(CC)CC)C=C(C5=C6C=C(C(OCCCCCCCC)=O)SC6=C(/C=C7/C(C(C=C(F)C(F)=C8)=C8C7=O)=C(C#N)/C#N)S5)S3)=C4C=C2C(S9)=C1C=C9C(SC(/C=C%10C(C%11=C(C/%10=C(C#N)\C#N)C=C(F)C(F)=C%11)=O)=C%12S%13)=C%12C=C%13C(OCCCCCCCC)=O,7.96,20.12,0.649,0.61
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,IOTIC-4F,O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C3=CC(OCC(CC)CCCC)=C(C4=CC5=C(C6=CC7=C(C8=C(C7(C9=CC=C(C=C9)CCCCCC)C%10=CC=C(C=C%10)CCCCCC)C=C(C%11=C(OCC(CC)CCCC)C=C(/C=C%12C(C%13=CC(F)=C(F)C=C%13C\%12=C(C#N)\C#N)=O)S%11)S8)C=C6C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S4)S3,10.2,20.5,0.68,0.72
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,IOTIC-2F,O=C(C1=CC=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C3=CC(OCC(CC)CCCC)=C(C4=CC5=C(C6=CC7=C(C8=C(C7(C9=CC=C(C=C9)CCCCCC)C%10=CC=C(C=C%10)CCCCCC)C=C(C%11=C(OCC(CC)CCCC)C=C(/C=C%12C(C%13=CC=C(F)C=C%13C\%12=C(C#N)\C#N)=O)S%11)S8)C=C6C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S4)S3,7.2,14.8,0.6,0.79
PTB7-Th,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12,IOTIC,O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(OCC(CC)CCCC)=C(C4=CC5=C(C6=CC7=C(C8=C(C7(C9=CC=C(C=C9)CCCCCC)C%10=CC=C(C=C%10)CCCCCC)C=C(C%11=C(OCC(CC)CCCC)C=C(/C=C%12C(C%13=CC=CC=C%13C\%12=C(C#N)\C#N)=O)S%11)S8)C=C6C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S4)S3,6.0,10.7,0.6,0.88
PT-68,FC(C(F)=C(C1=N2)C3=CC=C(S3)C4=CC=C(S4)/C(C#N)=C/C5=CC(OCC(CCCCCCCC)CCCCCC)=C(C=C5OCC(CCCCCCCC)CCCCCC)/C=C(C6=CC=C(S6)C)\C#N)=C(C7=CC=C(C)S7)C1=NN2CC(CCCCCCCCCC)CCCCCCCCCCCC,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,5.44,11.49,0.461,1.02
PT4FB,FC(C(F)=C(C1=NN(N=C21)CCCCCCCC)C3=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S3)C4=CC=C(S4)C5=C(C(F)=C(C(F)=C5F)C6=CC=C(S6)C)F)=C2C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C)S7,IDIC,N#C/C(C#N)=C(C1=CC=CC=C1C2=O)/C2=C/C3=CC4=C(C5=C(C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8/C(C9=CC=CC=C9C8=O)=C(C#N)/C#N)=C7)=C5)C4(CCCCCC)CCCCCC)S3,9.81,13.72,0.71,0.97
PT3,CC1=CC2=C(C3=C(C(C4=CC=C(S4)CC)=C2S1)C=C(C5=C(CCCCCC)C6=C(C=C(S6)C7=C(C(C8=C(SC(CCCCCCCC)=C8C9=O)CCCCCCCC)=O)C9=C(C%10=CC%11=C(S%10)C(CCCCCC)=C(C)S%11)S7)S5)S3)C%12=CC=C(S%12)CC,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,9.22,15.52,0.68,0.88
PT2,CC1=CC(C(S1)=C(C2=C3SC(C(S4)=CC=C4C5=C6C(C(C7=C(SC(CCCCCCCC)=C7C6=O)CCCCCCCC)=O)=C(S5)C8=CC=C(C)S8)=C2)C9=CC=C(S9)CC)=C3C%10=CC=C(S%10)CC,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,9.01,16.33,0.64,0.84
PT2,CC1=CC(C(S1)=C(C2=C3SC(C(S4)=CC=C4C5=C6C(C(C7=C(SC(CCCCCCCC)=C7C6=O)CCCCCCCC)=O)=C(S5)C8=CC=C(C)S8)=C2)C9=CC=C(S9)CC)=C3C%10=CC=C(S%10)CC,IT-BnC6-4F,O=C(C(C=C(C(F)=C1)F)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(CC6=CC=C(C=C6)CCCCCC)(C7=CC8=C(C(CC9=CC=C(C=C9)CCCCCC)(C%10=C8SC%11=C%10CC(/C=C%12C(C(C=C(C(F)=C%13)F)=C%13C\%12=C(C#N)/C#N)=O)=C%11)CC%14=CC=C(C=C%14)CCCCCC)C=C74)CC(C=C%15)=CC=C%15CCCCCC)=C5S3,13.36,20.7,0.728,0.86
PT2,CC1=CC(C(S1)=C(C2=C3SC(C(S4)=CC=C4C5=C6C(C(C7=C(SC(CCCCCCCC)=C7C6=O)CCCCCCCC)=O)=C(S5)C8=CC=C(C)S8)=C2)C9=CC=C(S9)CC)=C3C%10=CC=C(S%10)CC,IT-4F,c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F,12.85,19.4,0.764,0.83
PT1,CCC1=CC=C(C2=C(C3)C(C=C3C)=C(C(S4)=C2C=C4C5=C6C(C(C7=C(SC(CCCCCCCC)=C7C6=O)CCCCCCCC)=O)=C(C)S5)C(S8)=CC=C8CC)S1,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,2.13,5.78,0.39,0.95
PSEHTT,CC1=CC(C)=C(C2=NC3=C(S2)N=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=C([Si]6(CCCCCCCC)CCCCCCCC)C=C(C)S7)S5)S4)S3)S1,FTB,O=C(N(C(N(C/1=O)CC)=O)CC)C1=C\C(S2)=CC=C2C3=CC=C(C(C=C4)=C5C=C4C6=CC=C(S6)/C=C7C(N(C(N(C\7=O)CC)=O)CC)=O)C(C5(CCCCCCCC)CCCCCCCC)=C3,5.42,8.17,0.52,1.15
PSEHTT,CC1=CC(C)=C(C2=NC3=C(S2)N=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=C([Si]6(CCCCCCCC)CCCCCCCC)C=C(C)S7)S5)S4)S3)S1,FTTB,O=C(N(C(N(C/1=O)CC)=S)CC)C1=C\C(S2)=CC=C2C3=CC=C(C(C=C4)=C5C=C4C6=CC=C(S6)/C=C7C(N(C(N(C\7=O)CC)=S)CC)=O)C(C5(CCCCCCCC)CCCCCCCC)=C3,7.17,12.47,0.51,1.0
PSBZ,CC(S1)=CC=C1C(C2=NC(CC(CCCC)CCCCCC)N=C32)=C(F)C(F)=C3C(S4)=CC=C4C5=CC(C(C6=CC=C(SCC(CCCCCC)CCCC)S6)=C(SC(C)=C7)C7=C8C9=CC=C(SCC(CCCCCC)CCCC)S9)=C8S5,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,10.5,19.0,0.62,0.89
PPN4T-2F,FC1=C(C2=C(F)C=C(C)S2)SC(C3=C(CC(CCCCCC)CCCCCCCC)C=C(S3)C4=CC(N(C5=O)CC(CCCCCCCC)CCCCCC)=C(C6=C5C=C(C=C6)C7=CC(CC(CCCCCC)CCCCCCCC)=C(C)C7)C=C4)=C1,IT-4F,c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F,6.66,13.32,0.571,0.87
PPN4T-2F,FC1=C(C2=C(F)C=C(C)S2)SC(C3=C(CC(CCCCCC)CCCCCCCC)C=C(S3)C4=CC(N(C5=O)CC(CCCCCCCC)CCCCCC)=C(C6=C5C=C(C=C6)C7=CC(CC(CCCCCC)CCCCCCCC)=C(C)C7)C=C4)=C1,IT-4F,c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F,8.54,16.15,0.642,0.82
PPDT2FBT,CC1=CC=C(S1)C2=CC(OCC(CCCCCC)CCCCCCCC)=C(C=C2COC(CCCCCCCC)CCCCCC)C3=CC=C(S3)C4=C(C(F)=C(C5=NSN=C45)C)F,IDT2BR,S=C(N(C/1=O)CC)SC1=C\C(C2=NSN=C32)=CC=C3C4=CC(C5(C6=CC=C(C=C6)CCCCCC)C(C=C7)=CC=C7CCCCCC)=C(C8=CC9=C(C%10=C(C9(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C(C%13=CC=C(C%14=NSN=C%13%14)/C=C%15SC(N(C/%15=O)CC)=S)S%10)C=C85)S4,5.16,8.4,0.55,1.1
PPDT2FBT,CC1=CC=C(S1)C2=CC(OCC(CCCCCC)CCCCCCCC)=C(C=C2COC(CCCCCCCC)CCCCCC)C3=CC=C(S3)C4=C(C(F)=C(C5=NSN=C45)C)F,NIDCS-HO,O=C(C1=C2C(C3=O)=CC=C(C4=CC=C(S4)/C(C#N)=C/C5=CC(OCCCCCC)=C(C=C5OCCCCCC)/C=C(C6=CC=C(S6)C7=CC=C8C9=C(C(N(C8=O)CC(CC)CCCC)=O)C=CC=C79)\C#N)C2=CC=C1)N3CC(CC)CCCC,7.64,11.88,0.63,1.03
PPDT2FBT,CC1=CC=C(S1)C2=CC(OCC(CCCCCC)CCCCCCCC)=C(C=C2COC(CCCCCCCC)CCCCCC)C3=CC=C(S3)C4=C(C(F)=C(C5=NSN=C45)C)F,BTDT2R,S=C(N(C/1=O)CC)SC1=C/C(S2)=CC=C2C(C3=NSN=C3C(C4=CC=C(S4)/C=C5SC(N(C\5=O)CC)=S)=C6OCCCCCC)=C6OCCCCCC,6.9,11.23,0.57,1.07
p-PBDTPS?FTAZ,FC(C(F)=C(C1=N2)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(C=C7)[S]CCCCCCCC)=C5S4)C=C(C)S6)C8=CC=C(C=C8)[S]CCCCCCCC)=C(C9=CC=C(C)S9)C1=NN2CCCCCCCCCCCCCCCC,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,10.86,17.91,0.661,0.88
PPBDTBT,FC(C(OCC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C1=CC=C(C)S1)C2=NSN=C32)=C3C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC=C(C=C8)SCC(CCCC)CC)=C6S5)C=C(C)S7)C9=CC=C(C=C9)SCC(CCCC)CC,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,7.72,13.0,0.63,0.925
