top_fraction,k,top_k_hits,top_k_precision,top_k_recall,enrichment_factor,high_pce_threshold,n_high_pce,high_pce_recall_in_predicted_top_k
0.1,25,14,0.56,0.56,5.6000000000000005,16.0,5,1.0
0.2,50,32,0.64,0.64,3.1999999999999997,16.0,5,1.0
