pce_bin,n,experimental_min,experimental_max,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
"(0.039, 4.012]",50,0.0399999991059303,3.9800000190734863,0.3600697907656412,0.5578714827296227,-4.330055698766603,2.5829316978524917,1.5553117603893478,1.1630586160553418,1.3919263786480836,0.1637965644235981
"(4.012, 7.3]",51,4.019999980926514,7.300000190734863,0.2350568894548322,0.27773000888285004,-5.975493812847461,2.659732392009244,2.037506511247961,0.9252996718251713,5.137387666686429,0.09355692338160689
"(7.3, 9.336]",49,7.400000095367432,9.300000190734863,-0.001006709410452061,0.01893146920100415,-12.937994628532511,2.17293306696419,1.6275124886609682,0.22117881091779407,8.514703648176365,-0.00028153359392220844
"(9.336, 11.534]",50,9.390000343322754,11.520000457763672,0.1793859012290622,0.14697053592545672,-4.9684455549674125,1.63802249368538,1.2131107599428383,-0.4759909832831656,9.71004583268504,0.07799679556567324
"(11.534, 16.5]",50,11.59000015258789,16.5,0.7428910180740758,0.6713510331115969,-1.521087825108979,2.0713468962152164,1.6913124605688719,-1.605192644100378,7.460118217620817,0.49841324298433837
