pce_bin,n,experimental_min,experimental_max,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
"(0.039, 4.012]",50,0.0399999991059303,3.9800000190734863,0.3596955949008263,0.5503794070318075,-4.31907190055272,2.5802689647426735,1.5472844116389752,1.1560245494544505,1.3936223457122285,0.16361817354936334
"(4.012, 7.3]",51,4.019999980926514,7.300000190734863,0.23051153672450658,0.2654206456082639,-5.710779919111664,2.6087770287132237,1.996567548490038,0.8869929500654632,5.140986829759145,0.0935546220672582
"(7.3, 9.336]",49,7.400000095367432,9.300000190734863,0.02779725934386831,0.0660305152185967,-12.985417875411894,2.176626569489451,1.654762263200721,-0.06658882510905377,8.447564207109005,0.0076584564136746615
"(9.336, 11.534]",50,9.390000343322754,11.520000457763672,0.14619340114576423,0.104512381102547,-5.5516198612923935,1.7161829714329235,1.2903283023834229,-0.7068122959136961,9.857844140304996,0.06473127623072952
"(11.534, 16.5]",50,11.59000015258789,16.5,0.7470611146737088,0.6853800524459503,-2.274004710778694,2.3604700821943303,1.9431441879272457,-1.8907617568969723,7.96880096747426,0.4662411468811143
